"group","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk",1,"core","Water","stable",591901,5919.01,100
"bulk",2,"0-10","Bare Ground","break_endpoint",2252,22.52,59.34
"bulk",2,"0-10","Bare Ground","break_sustained",30,0.3,0.79
"bulk",2,"0-10","Bare Ground","stable_flicker",19,0.19,0.5
"bulk",2,"0-10","Bare Ground","unsettled",1494,14.94,39.37
"bulk",2,"0-10","Built Area","break_endpoint",22,0.22,10.14
"bulk",2,"0-10","Built Area","break_sustained",33,0.33,15.21
"bulk",2,"0-10","Built Area","stable",13,0.13,5.99
"bulk",2,"0-10","Built Area","stable_flicker",84,0.84,38.71
"bulk",2,"0-10","Built Area","unsettled",65,0.65,29.95
"bulk",2,"0-10","Clouds","break_endpoint",32,0.32,32.65
"bulk",2,"0-10","Clouds","unsettled",66,0.66,67.35
"bulk",2,"0-10","Crops","break_endpoint",21,0.21,7.87
"bulk",2,"0-10","Crops","break_sustained",15,0.15,5.62
"bulk",2,"0-10","Crops","stable_flicker",25,0.25,9.36
"bulk",2,"0-10","Crops","unsettled",206,2.06,77.15
"bulk",2,"0-10","Flooded Vegetation","break_endpoint",23,0.23,53.49
"bulk",2,"0-10","Flooded Vegetation","unsettled",20,0.2,46.51
"bulk",2,"0-10","Rangeland","break_endpoint",1669,16.69,46.45
"bulk",2,"0-10","Rangeland","break_sustained",140,1.4,3.9
"bulk",2,"0-10","Rangeland","stable",37,0.37,1.03
"bulk",2,"0-10","Rangeland","stable_flicker",326,3.26,9.07
"bulk",2,"0-10","Rangeland","unsettled",1421,14.21,39.55
"bulk",2,"0-10","Snow/Ice","break_endpoint",102,1.02,21.21
"bulk",2,"0-10","Snow/Ice","unsettled",379,3.79,78.79
"bulk",2,"0-10","Trees","break_endpoint",3603,36.03,24.74
"bulk",2,"0-10","Trees","break_sustained",1802,18.02,12.37
"bulk",2,"0-10","Trees","stable",1225,12.25,8.41
"bulk",2,"0-10","Trees","stable_flicker",3636,36.36,24.97
"bulk",2,"0-10","Trees","unsettled",4297,42.97,29.51
"bulk",2,"0-10","Water","break_endpoint",7398,73.98,33.05
"bulk",2,"0-10","Water","break_sustained",1939,19.39,8.66
"bulk",2,"0-10","Water","stable_flicker",10890,108.9,48.65
