"from_class","to_class","status","break_year","n_cells","area","pct"
"Trees","Trees","stable",NA,2241176,22411.76,54.54
"Water","Water","stable",NA,591901,5919.01,14.41
"Rangeland","Rangeland","stable",NA,424112,4241.12,10.32
"Trees","Trees","flicker",NA,142263,1422.63,3.46
"Rangeland","Rangeland","flicker",NA,132862,1328.62,3.23
"Trees","Rangeland","flicker",NA,57671,576.71,1.4
"Built Area","Built Area","stable",NA,47719,477.19,1.16
"Trees","Rangeland","break",2023,36564,365.64,0.89
"Rangeland","Trees","flicker",NA,35776,357.76,0.87
"Rangeland","Trees","break",2018,26426,264.26,0.64
"Trees","Rangeland","break",2018,20855,208.55,0.51
"Rangeland","Crops","flicker",NA,19308,193.08,0.47
"Water","Water","flicker",NA,15459,154.59,0.38
"Crops","Crops","flicker",NA,15083,150.83,0.37
"Trees","Rangeland","break",2019,13480,134.8,0.33
"Flooded Vegetation","Flooded Vegetation","stable",NA,12587,125.87,0.31
"Trees","Water","flicker",NA,11593,115.93,0.28
"Trees","Built Area","flicker",NA,10881,108.81,0.26
"Crops","Rangeland","flicker",NA,10228,102.28,0.25
"Crops","Rangeland","break",2019,10195,101.95,0.25
"Crops","Crops","stable",NA,10162,101.62,0.25
"Bare Ground","Trees","break",2018,9064,90.64,0.22
"Trees","Rangeland","break",2021,8867,88.67,0.22
"Rangeland","Trees","break",2023,8842,88.42,0.22
"Built Area","Built Area","flicker",NA,7987,79.87,0.19
"Crops","Rangeland","break",2020,7711,77.11,0.19
"Trees","Water","break",2023,7477,74.77,0.18
"Trees","Rangeland","break",2022,7126,71.26,0.17
"Water","Trees","break",2023,6810,68.1,0.17
"Crops","Rangeland","break",2018,6800,68,0.17
"Rangeland","Crops","break",2023,6293,62.93,0.15
"Bare Ground","Water","break",2018,5968,59.68,0.15
"Trees","Crops","flicker",NA,5475,54.75,0.13
"Rangeland","Trees","break",2021,4733,47.33,0.12
"Trees","Built Area","break",2018,4592,45.92,0.11
"Rangeland","Water","flicker",NA,4535,45.35,0.11
"Bare Ground","Trees","flicker",NA,4434,44.34,0.11
"Flooded Vegetation","Flooded Vegetation","flicker",NA,4419,44.19,0.11
"Bare Ground","Rangeland","flicker",NA,4353,43.53,0.11
"Trees","Water","break",2018,4058,40.58,0.1
"Water","Trees","flicker",NA,3919,39.19,0.1
"Rangeland","Trees","break",2020,3835,38.35,0.09
"Rangeland","Crops","break",2018,3692,36.92,0.09
"Rangeland","Trees","break",2022,3554,35.54,0.09
"Bare Ground","Water","flicker",NA,3406,34.06,0.08
"Trees","Rangeland","break",2020,3367,33.67,0.08
"Rangeland","Built Area","flicker",NA,3274,32.74,0.08
"Crops","Rangeland","break",2022,3207,32.07,0.08
"Rangeland","Flooded Vegetation","flicker",NA,3110,31.1,0.08
"Rangeland","Water","break",2018,2954,29.54,0.07
"Rangeland","Trees","break",2019,2465,24.65,0.06
"Flooded Vegetation","Rangeland","flicker",NA,2260,22.6,0.06
"Crops","Rangeland","break",2023,2242,22.42,0.05
"Water","Rangeland","flicker",NA,2205,22.05,0.05
"Rangeland","Crops","break",2022,2124,21.24,0.05
"Water","Trees","break",2022,2042,20.42,0.05
"Trees","Water","break",2022,2023,20.23,0.05
"Bare Ground","Built Area","break",2018,1941,19.41,0.05
"Bare Ground","Built Area","flicker",NA,1859,18.59,0.05
"Built Area","Rangeland","flicker",NA,1601,16.01,0.04
"Trees","Crops","break",2021,1593,15.93,0.04
"Rangeland","Crops","break",2019,1533,15.33,0.04
"Trees","Built Area","break",2023,1482,14.82,0.04
"Built Area","Crops","flicker",NA,1448,14.48,0.04
"Crops","Built Area","flicker",NA,1438,14.38,0.03
"Snow/Ice","Rangeland","flicker",NA,1438,14.38,0.03
"Bare Ground","Rangeland","break",2018,1425,14.25,0.03
"Rangeland","Crops","break",2021,1383,13.83,0.03
"Rangeland","Crops","break",2020,1382,13.82,0.03
"Crops","Trees","flicker",NA,1328,13.28,0.03
"Trees","Water","break",2019,1242,12.42,0.03
"Water","Rangeland","break",2023,1210,12.1,0.03
"Trees","Crops","break",2023,1201,12.01,0.03
"Flooded Vegetation","Trees","flicker",NA,1198,11.98,0.03
"Snow/Ice","Trees","flicker",NA,1176,11.76,0.03
"Rangeland","Built Area","break",2018,1124,11.24,0.03
"Bare Ground","Flooded Vegetation","flicker",NA,1031,10.31,0.03
"Trees","Crops","break",2022,974,9.74,0.02
"Trees","Water","break",2021,926,9.26,0.02
"Snow/Ice","Built Area","flicker",NA,919,9.19,0.02
"Snow/Ice","Water","flicker",NA,898,8.98,0.02
"Trees","Flooded Vegetation","flicker",NA,882,8.82,0.02
"Snow/Ice","Flooded Vegetation","flicker",NA,865,8.65,0.02
"Trees","Built Area","break",2022,786,7.86,0.02
"Bare Ground","Crops","flicker",NA,763,7.63,0.02
"Crops","Rangeland","break",2021,675,6.75,0.02
"Water","Built Area","flicker",NA,623,6.23,0.02
"Rangeland","Water","break",2023,623,6.23,0.02
"Built Area","Trees","flicker",NA,590,5.9,0.01
