"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"kotl","water_core",1,"core",0,0,"stable",4648014,46480.14,4648014,100
"kotl","water_core",2,"0-10",0,10,"break_endpoint",16088,160.88,49054,32.8
"kotl","water_core",2,"0-10",0,10,"break_sustained",3941,39.41,49054,8.03
"kotl","water_core",2,"0-10",0,10,"stable",1906,19.06,49054,3.89
"kotl","water_core",2,"0-10",0,10,"stable_flicker",16004,160.04,49054,32.63
"kotl","water_core",2,"0-10",0,10,"unsettled",11115,111.15,49054,22.66
"kotl","water_core",3,"10-30",10,30,"break_endpoint",11731,117.31,82657,14.19
"kotl","water_core",3,"10-30",10,30,"break_sustained",3978,39.78,82657,4.81
"kotl","water_core",3,"10-30",10,30,"stable",36806,368.06,82657,44.53
"kotl","water_core",3,"10-30",10,30,"stable_flicker",15918,159.18,82657,19.26
"kotl","water_core",3,"10-30",10,30,"unsettled",14224,142.24,82657,17.21
"kotl","water_core",4,"30-50",30,50,"break_endpoint",4653,46.53,71559,6.5
"kotl","water_core",4,"30-50",30,50,"break_sustained",2671,26.71,71559,3.73
"kotl","water_core",4,"30-50",30,50,"stable",44631,446.31,71559,62.37
"kotl","water_core",4,"30-50",30,50,"stable_flicker",11653,116.53,71559,16.28
"kotl","water_core",4,"30-50",30,50,"unsettled",7951,79.51,71559,11.11
"kotl","water_core",5,"50-100",50,100,"break_endpoint",8413,84.13,146019,5.76
"kotl","water_core",5,"50-100",50,100,"break_sustained",6266,62.66,146019,4.29
"kotl","water_core",5,"50-100",50,100,"stable",96388,963.88,146019,66.01
"kotl","water_core",5,"50-100",50,100,"stable_flicker",20986,209.86,146019,14.37
"kotl","water_core",5,"50-100",50,100,"unsettled",13966,139.66,146019,9.56
"kotl","water_core",6,"100-200",100,200,"break_endpoint",13980,139.8,244115,5.73
"kotl","water_core",6,"100-200",100,200,"break_sustained",12040,120.4,244115,4.93
"kotl","water_core",6,"100-200",100,200,"stable",164992,1649.92,244115,67.59
"kotl","water_core",6,"100-200",100,200,"stable_flicker",32615,326.15,244115,13.36
