"group","reference","band","band_label","break_year","category_label","n_cells"
"kotl","water_core",2,"0-10",2018,"break_endpoint",2740
"kotl","water_core",2,"0-10",2019,"break_sustained",410
"kotl","water_core",2,"0-10",2020,"break_sustained",175
"kotl","water_core",2,"0-10",2021,"break_sustained",518
"kotl","water_core",2,"0-10",2022,"break_sustained",2838
"kotl","water_core",2,"0-10",2023,"break_endpoint",13348
"kotl","water_core",3,"10-30",2018,"break_endpoint",3208
"kotl","water_core",3,"10-30",2019,"break_sustained",846
"kotl","water_core",3,"10-30",2020,"break_sustained",357
"kotl","water_core",3,"10-30",2021,"break_sustained",583
"kotl","water_core",3,"10-30",2022,"break_sustained",2192
"kotl","water_core",3,"10-30",2023,"break_endpoint",8523
"kotl","water_core",4,"30-50",2018,"break_endpoint",2572
"kotl","water_core",4,"30-50",2019,"break_sustained",752
"kotl","water_core",4,"30-50",2020,"break_sustained",412
"kotl","water_core",4,"30-50",2021,"break_sustained",391
"kotl","water_core",4,"30-50",2022,"break_sustained",1116
"kotl","water_core",4,"30-50",2023,"break_endpoint",2081
"kotl","water_core",5,"50-100",2018,"break_endpoint",4970
"kotl","water_core",5,"50-100",2019,"break_sustained",2392
"kotl","water_core",5,"50-100",2020,"break_sustained",860
"kotl","water_core",5,"50-100",2021,"break_sustained",850
"kotl","water_core",5,"50-100",2022,"break_sustained",2164
"kotl","water_core",5,"50-100",2023,"break_endpoint",3443
"kotl","water_core",6,"100-200",2018,"break_endpoint",8299
"kotl","water_core",6,"100-200",2019,"break_sustained",5810
"kotl","water_core",6,"100-200",2020,"break_sustained",1663
"kotl","water_core",6,"100-200",2021,"break_sustained",1484
"kotl","water_core",6,"100-200",2022,"break_sustained",3083
"kotl","water_core",6,"100-200",2023,"break_endpoint",5681
"kotl","water_core",7,"200-500",2018,"break_endpoint",14092
"kotl","water_core",7,"200-500",2019,"break_sustained",10868
"kotl","water_core",7,"200-500",2020,"break_sustained",3220
"kotl","water_core",7,"200-500",2021,"break_sustained",3776
"kotl","water_core",7,"200-500",2022,"break_sustained",5327
"kotl","water_core",7,"200-500",2023,"break_endpoint",9333
"kotl","water_core",8,">500",2018,"break_endpoint",25181
"kotl","water_core",8,">500",2019,"break_sustained",11345
"kotl","water_core",8,">500",2020,"break_sustained",4237
"kotl","water_core",8,">500",2021,"break_sustained",10631
"kotl","water_core",8,">500",2022,"break_sustained",8920
"kotl","water_core",8,">500",2023,"break_endpoint",13528
