"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"kotl","water_core",1,"core","Water","stable",4648014,46480.14,100
"kotl","water_core",2,"0-10","Bare Ground","break_endpoint",849,8.49,27.67
"kotl","water_core",2,"0-10","Bare Ground","break_sustained",202,2.02,6.58
"kotl","water_core",2,"0-10","Bare Ground","stable",86,0.86,2.8
"kotl","water_core",2,"0-10","Bare Ground","stable_flicker",110,1.1,3.59
"kotl","water_core",2,"0-10","Bare Ground","unsettled",1821,18.21,59.35
"kotl","water_core",2,"0-10","Built Area","break_endpoint",402,4.02,18.84
"kotl","water_core",2,"0-10","Built Area","break_sustained",300,3,14.06
"kotl","water_core",2,"0-10","Built Area","stable",352,3.52,16.49
"kotl","water_core",2,"0-10","Built Area","stable_flicker",454,4.54,21.27
"kotl","water_core",2,"0-10","Built Area","unsettled",626,6.26,29.33
"kotl","water_core",2,"0-10","Crops","break_endpoint",297,2.97,14.71
"kotl","water_core",2,"0-10","Crops","break_sustained",274,2.74,13.57
"kotl","water_core",2,"0-10","Crops","stable",86,0.86,4.26
"kotl","water_core",2,"0-10","Crops","stable_flicker",363,3.63,17.98
"kotl","water_core",2,"0-10","Crops","unsettled",999,9.99,49.48
"kotl","water_core",2,"0-10","Flooded Vegetation","break_endpoint",422,4.22,41.45
"kotl","water_core",2,"0-10","Flooded Vegetation","break_sustained",51,0.51,5.01
"kotl","water_core",2,"0-10","Flooded Vegetation","stable_flicker",98,0.98,9.63
"kotl","water_core",2,"0-10","Flooded Vegetation","unsettled",447,4.47,43.91
"kotl","water_core",2,"0-10","Rangeland","break_endpoint",636,6.36,21.86
"kotl","water_core",2,"0-10","Rangeland","break_sustained",282,2.82,9.69
"kotl","water_core",2,"0-10","Rangeland","stable",107,1.07,3.68
"kotl","water_core",2,"0-10","Rangeland","stable_flicker",420,4.2,14.43
"kotl","water_core",2,"0-10","Rangeland","unsettled",1465,14.65,50.34
"kotl","water_core",2,"0-10","Snow/Ice","unsettled",1,0.01,100
"kotl","water_core",2,"0-10","Trees","break_endpoint",3327,33.27,31
"kotl","water_core",2,"0-10","Trees","break_sustained",1159,11.59,10.8
"kotl","water_core",2,"0-10","Trees","stable",1275,12.75,11.88
"kotl","water_core",2,"0-10","Trees","stable_flicker",1988,19.88,18.52
"kotl","water_core",2,"0-10","Trees","unsettled",2984,29.84,27.8
"kotl","water_core",2,"0-10","Water","break_endpoint",10155,101.55,37.37
"kotl","water_core",2,"0-10","Water","break_sustained",1673,16.73,6.16
"kotl","water_core",2,"0-10","Water","stable_flicker",12571,125.71,46.27
"kotl","water_core",2,"0-10","Water","unsettled",2772,27.72,10.2
"kotl","water_core",3,"10-30","Bare Ground","break_endpoint",1338,13.38,25.6
"kotl","water_core",3,"10-30","Bare Ground","break_sustained",301,3.01,5.76
"kotl","water_core",3,"10-30","Bare Ground","stable",1261,12.61,24.13
"kotl","water_core",3,"10-30","Bare Ground","stable_flicker",230,2.3,4.4
"kotl","water_core",3,"10-30","Bare Ground","unsettled",2096,20.96,40.11
"kotl","water_core",3,"10-30","Built Area","break_endpoint",770,7.7,8.43
"kotl","water_core",3,"10-30","Built Area","break_sustained",189,1.89,2.07
"kotl","water_core",3,"10-30","Built Area","stable",6324,63.24,69.24
"kotl","water_core",3,"10-30","Built Area","stable_flicker",1243,12.43,13.61
"kotl","water_core",3,"10-30","Built Area","unsettled",607,6.07,6.65
"kotl","water_core",3,"10-30","Crops","break_endpoint",815,8.15,10.47
"kotl","water_core",3,"10-30","Crops","break_sustained",255,2.55,3.28
"kotl","water_core",3,"10-30","Crops","stable",3724,37.24,47.85
"kotl","water_core",3,"10-30","Crops","stable_flicker",1854,18.54,23.82
"kotl","water_core",3,"10-30","Crops","unsettled",1134,11.34,14.57
"kotl","water_core",3,"10-30","Flooded Vegetation","break_endpoint",549,5.49,17.52
"kotl","water_core",3,"10-30","Flooded Vegetation","break_sustained",135,1.35,4.31
"kotl","water_core",3,"10-30","Flooded Vegetation","stable",203,2.03,6.48
"kotl","water_core",3,"10-30","Flooded Vegetation","stable_flicker",822,8.22,26.24
"kotl","water_core",3,"10-30","Flooded Vegetation","unsettled",1424,14.24,45.45
"kotl","water_core",3,"10-30","Rangeland","break_endpoint",1373,13.73,13.32
"kotl","water_core",3,"10-30","Rangeland","break_sustained",603,6.03,5.85
"kotl","water_core",3,"10-30","Rangeland","stable",3172,31.72,30.77
"kotl","water_core",3,"10-30","Rangeland","stable_flicker",2517,25.17,24.42
"kotl","water_core",3,"10-30","Rangeland","unsettled",2643,26.43,25.64
"kotl","water_core",3,"10-30","Trees","break_endpoint",4409,44.09,12.57
"kotl","water_core",3,"10-30","Trees","break_sustained",410,4.1,1.17
"kotl","water_core",3,"10-30","Trees","stable",22122,221.22,63.09
"kotl","water_core",3,"10-30","Trees","stable_flicker",4938,49.38,14.08
"kotl","water_core",3,"10-30","Trees","unsettled",3184,31.84,9.08
"kotl","water_core",3,"10-30","Water","break_endpoint",2477,24.77,20.62
"kotl","water_core",3,"10-30","Water","break_sustained",2085,20.85,17.36
"kotl","water_core",3,"10-30","Water","stable_flicker",4314,43.14,35.91
"kotl","water_core",3,"10-30","Water","unsettled",3136,31.36,26.11
"kotl","water_core",4,"30-50","Bare Ground","break_endpoint",834,8.34,30.16
"kotl","water_core",4,"30-50","Bare Ground","break_sustained",118,1.18,4.27
"kotl","water_core",4,"30-50","Bare Ground","stable",816,8.16,29.51
"kotl","water_core",4,"30-50","Bare Ground","stable_flicker",124,1.24,4.48
"kotl","water_core",4,"30-50","Bare Ground","unsettled",873,8.73,31.57
"kotl","water_core",4,"30-50","Built Area","break_endpoint",239,2.39,2.83
"kotl","water_core",4,"30-50","Built Area","break_sustained",111,1.11,1.31
"kotl","water_core",4,"30-50","Built Area","stable",6952,69.52,82.23
"kotl","water_core",4,"30-50","Built Area","stable_flicker",843,8.43,9.97
"kotl","water_core",4,"30-50","Built Area","unsettled",309,3.09,3.66
"kotl","water_core",4,"30-50","Crops","break_endpoint",479,4.79,5.72
"kotl","water_core",4,"30-50","Crops","break_sustained",243,2.43,2.9
