"from_class","to_class","status","break_year","n_cells","area","pct"
"Water","Water","stable",NA,4648014,46480.14,67
"Trees","Trees","stable",NA,811307,8113.07,11.69
"Crops","Crops","stable",NA,525973,5259.73,7.58
"Rangeland","Rangeland","stable",NA,204908,2049.08,2.95
"Built Area","Built Area","stable",NA,97430,974.3,1.4
"Flooded Vegetation","Flooded Vegetation","stable",NA,68704,687.04,0.99
"Rangeland","Rangeland","flicker",NA,60966,609.66,0.88
"Crops","Crops","flicker",NA,47966,479.66,0.69
"Trees","Trees","flicker",NA,43877,438.77,0.63
"Flooded Vegetation","Flooded Vegetation","flicker",NA,36012,360.12,0.52
"Flooded Vegetation","Rangeland","flicker",NA,28058,280.58,0.4
"Water","Water","flicker",NA,23678,236.78,0.34
"Crops","Rangeland","flicker",NA,14133,141.33,0.2
"Flooded Vegetation","Rangeland","break",2019,13847,138.47,0.2
"Trees","Rangeland","flicker",NA,12230,122.3,0.18
"Rangeland","Trees","flicker",NA,11417,114.17,0.16
"Rangeland","Crops","flicker",NA,11194,111.94,0.16
"Rangeland","Crops","break",2018,10549,105.49,0.15
"Built Area","Built Area","flicker",NA,10460,104.6,0.15
"Flooded Vegetation","Rangeland","break",2018,10149,101.49,0.15
"Trees","Rangeland","break",2021,8790,87.9,0.13
"Rangeland","Built Area","flicker",NA,7630,76.3,0.11
"Rangeland","Trees","break",2018,7528,75.28,0.11
"Rangeland","Built Area","break",2018,7261,72.61,0.1
"Trees","Rangeland","break",2023,7100,71,0.1
"Trees","Water","break",2023,6922,69.22,0.1
"Water","Trees","break",2023,6502,65.02,0.09
"Rangeland","Flooded Vegetation","flicker",NA,6218,62.18,0.09
"Trees","Water","flicker",NA,5320,53.2,0.08
"Flooded Vegetation","Water","flicker",NA,5297,52.97,0.08
"Trees","Built Area","flicker",NA,5084,50.84,0.07
"Trees","Rangeland","break",2019,5082,50.82,0.07
"Flooded Vegetation","Rangeland","break",2023,5029,50.29,0.07
"Crops","Rangeland","break",2023,4880,48.8,0.07
"Water","Rangeland","flicker",NA,4335,43.35,0.06
"Rangeland","Trees","break",2022,4245,42.45,0.06
"Rangeland","Water","flicker",NA,4182,41.82,0.06
"Bare Ground","Bare Ground","stable",NA,4094,40.94,0.06
"Trees","Built Area","break",2023,3866,38.66,0.06
"Crops","Rangeland","break",2018,3842,38.42,0.06
"Trees","Rangeland","break",2018,3517,35.17,0.05
"Bare Ground","Built Area","break",2018,3425,34.25,0.05
"Trees","Rangeland","break",2022,3340,33.4,0.05
"Rangeland","Trees","break",2023,3265,32.65,0.05
"Flooded Vegetation","Rangeland","break",2022,3158,31.58,0.05
"Rangeland","Trees","break",2019,3115,31.15,0.04
"Water","Flooded Vegetation","flicker",NA,3069,30.69,0.04
"Flooded Vegetation","Trees","flicker",NA,2971,29.71,0.04
"Water","Trees","flicker",NA,2770,27.7,0.04
"Bare Ground","Built Area","flicker",NA,2661,26.61,0.04
"Bare Ground","Water","flicker",NA,2659,26.59,0.04
"Rangeland","Crops","break",2019,2630,26.3,0.04
"Flooded Vegetation","Rangeland","break",2021,2525,25.25,0.04
"Trees","Rangeland","break",2020,2445,24.45,0.04
"Water","Rangeland","break",2023,2419,24.19,0.03
"Crops","Rangeland","break",2022,2379,23.79,0.03
"Flooded Vegetation","Crops","flicker",NA,2378,23.78,0.03
"Rangeland","Crops","break",2023,2016,20.16,0.03
"Trees","Built Area","break",2020,1965,19.65,0.03
"Trees","Built Area","break",2022,1864,18.64,0.03
"Flooded Vegetation","Water","break",2018,1840,18.4,0.03
"Water","Flooded Vegetation","break",2022,1818,18.18,0.03
"Flooded Vegetation","Rangeland","break",2020,1700,17,0.02
"Water","Crops","flicker",NA,1662,16.62,0.02
"Water","Trees","break",2022,1655,16.55,0.02
"Crops","Water","flicker",NA,1645,16.45,0.02
"Water","Crops","break",2023,1589,15.89,0.02
"Water","Flooded Vegetation","break",2021,1552,15.52,0.02
"Trees","Built Area","break",2018,1484,14.84,0.02
"Rangeland","Built Area","break",2023,1369,13.69,0.02
"Rangeland","Trees","break",2020,1294,12.94,0.02
"Flooded Vegetation","Water","break",2023,1291,12.91,0.02
"Water","Flooded Vegetation","break",2020,1275,12.75,0.02
"Water","Built Area","flicker",NA,1251,12.51,0.02
"Rangeland","Built Area","break",2019,1234,12.34,0.02
"Built Area","Trees","flicker",NA,1226,12.26,0.02
"Crops","Built Area","flicker",NA,1221,12.21,0.02
"Water","Flooded Vegetation","break",2018,1216,12.16,0.02
"Crops","Flooded Vegetation","flicker",NA,1204,12.04,0.02
"Bare Ground","Trees","flicker",NA,1184,11.84,0.02
"Built Area","Crops","flicker",NA,1177,11.77,0.02
"Crops","Trees","flicker",NA,1167,11.67,0.02
"Water","Bare Ground","break",2023,1159,11.59,0.02
