"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"lnth","water_core",1,"core",0,0,"stable",539130,5391.3,539130,100
"lnth","water_core",2,"0-10",0,10,"break_endpoint",10887,108.87,37261,29.22
"lnth","water_core",2,"0-10",0,10,"break_sustained",4194,41.94,37261,11.26
"lnth","water_core",2,"0-10",0,10,"stable",3106,31.06,37261,8.34
"lnth","water_core",2,"0-10",0,10,"stable_flicker",11955,119.55,37261,32.08
"lnth","water_core",2,"0-10",0,10,"unsettled",7119,71.19,37261,19.11
"lnth","water_core",3,"10-30",10,30,"break_endpoint",5403,54.03,65729,8.22
"lnth","water_core",3,"10-30",10,30,"break_sustained",4476,44.76,65729,6.81
"lnth","water_core",3,"10-30",10,30,"stable",30558,305.58,65729,46.49
"lnth","water_core",3,"10-30",10,30,"stable_flicker",18159,181.59,65729,27.63
"lnth","water_core",3,"10-30",10,30,"unsettled",7133,71.33,65729,10.85
"lnth","water_core",4,"30-50",30,50,"break_endpoint",2109,21.09,54231,3.89
"lnth","water_core",4,"30-50",30,50,"break_sustained",2293,22.93,54231,4.23
"lnth","water_core",4,"30-50",30,50,"stable",32560,325.6,54231,60.04
"lnth","water_core",4,"30-50",30,50,"stable_flicker",13015,130.15,54231,24
"lnth","water_core",4,"30-50",30,50,"unsettled",4254,42.54,54231,7.84
"lnth","water_core",5,"50-100",50,100,"break_endpoint",2653,26.53,85315,3.11
"lnth","water_core",5,"50-100",50,100,"break_sustained",2738,27.38,85315,3.21
"lnth","water_core",5,"50-100",50,100,"stable",56419,564.19,85315,66.13
"lnth","water_core",5,"50-100",50,100,"stable_flicker",17421,174.21,85315,20.42
"lnth","water_core",5,"50-100",50,100,"unsettled",6084,60.84,85315,7.13
"lnth","water_core",6,"100-200",100,200,"break_endpoint",3377,33.77,95704,3.53
"lnth","water_core",6,"100-200",100,200,"break_sustained",2157,21.57,95704,2.25
"lnth","water_core",6,"100-200",100,200,"stable",68238,682.38,95704,71.3
"lnth","water_core",6,"100-200",100,200,"stable_flicker",15355,153.55,95704,16.04
"lnth","water_core",6,"100-200",100,200,"unsettled",6577,65.77,95704,6.87
"lnth","water_core",7,"200-500",200,500,"break_endpoint",8806,88.06,173195,5.08
"lnth","water_core",7,"200-500",200,500,"break_sustained",3603,36.03,173195,2.08
"lnth","water_core",7,"200-500",200,500,"stable",122351,1223.51,173195,70.64
"lnth","water_core",7,"200-500",200,500,"stable_flicker",25577,255.77,173195,14.77
"lnth","water_core",7,"200-500",200,500,"unsettled",12858,128.58,173195,7.42
"lnth","water_core",8,">500",500,Inf,"break_endpoint",17234,172.34,549611,3.14
"lnth","water_core",8,">500",500,Inf,"break_sustained",14055,140.55,549611,2.56
"lnth","water_core",8,">500",500,Inf,"stable",427172,4271.72,549611,77.72
"lnth","water_core",8,">500",500,Inf,"stable_flicker",56192,561.92,549611,10.22
"lnth","water_core",8,">500",500,Inf,"unsettled",34958,349.58,549611,6.36
"lnth","water_2017",1,"core",0,0,"break_endpoint",12353,123.53,574303,2.15
"lnth","water_2017",1,"core",0,0,"break_sustained",7841,78.41,574303,1.37
"lnth","water_2017",1,"core",0,0,"stable",539130,5391.3,574303,93.88
"lnth","water_2017",1,"core",0,0,"stable_flicker",6968,69.68,574303,1.21
"lnth","water_2017",1,"core",0,0,"unsettled",8011,80.11,574303,1.39
