"group","band","band_label","break_year","category_label","n_cells"
"lnth",2,"0-10",2018,"break_endpoint",3171
"lnth",2,"0-10",2019,"break_sustained",441
"lnth",2,"0-10",2020,"break_sustained",310
"lnth",2,"0-10",2021,"break_sustained",790
"lnth",2,"0-10",2022,"break_sustained",2653
"lnth",2,"0-10",2023,"break_endpoint",7716
"lnth",3,"10-30",2018,"break_endpoint",1496
"lnth",3,"10-30",2019,"break_sustained",558
"lnth",3,"10-30",2020,"break_sustained",559
"lnth",3,"10-30",2021,"break_sustained",1241
"lnth",3,"10-30",2022,"break_sustained",2118
"lnth",3,"10-30",2023,"break_endpoint",3907
"lnth",4,"30-50",2018,"break_endpoint",985
"lnth",4,"30-50",2019,"break_sustained",365
"lnth",4,"30-50",2020,"break_sustained",325
"lnth",4,"30-50",2021,"break_sustained",622
"lnth",4,"30-50",2022,"break_sustained",981
"lnth",4,"30-50",2023,"break_endpoint",1124
"lnth",5,"50-100",2018,"break_endpoint",1547
"lnth",5,"50-100",2019,"break_sustained",624
"lnth",5,"50-100",2020,"break_sustained",430
"lnth",5,"50-100",2021,"break_sustained",684
"lnth",5,"50-100",2022,"break_sustained",1000
"lnth",5,"50-100",2023,"break_endpoint",1106
"lnth",6,"100-200",2018,"break_endpoint",2601
"lnth",6,"100-200",2019,"break_sustained",564
"lnth",6,"100-200",2020,"break_sustained",335
"lnth",6,"100-200",2021,"break_sustained",275
"lnth",6,"100-200",2022,"break_sustained",983
"lnth",6,"100-200",2023,"break_endpoint",776
"lnth",7,"200-500",2018,"break_endpoint",6769
"lnth",7,"200-500",2019,"break_sustained",1070
"lnth",7,"200-500",2020,"break_sustained",492
"lnth",7,"200-500",2021,"break_sustained",573
"lnth",7,"200-500",2022,"break_sustained",1468
"lnth",7,"200-500",2023,"break_endpoint",2037
"lnth",8,">500",2018,"break_endpoint",10694
"lnth",8,">500",2019,"break_sustained",2831
"lnth",8,">500",2020,"break_sustained",4884
"lnth",8,">500",2021,"break_sustained",2258
"lnth",8,">500",2022,"break_sustained",4082
"lnth",8,">500",2023,"break_endpoint",6540
