"year","class_name","n_cells"
2017,"Water",1094266
2017,"Trees",1860442
2017,"Flooded Vegetation",12660
2017,"Crops",431925
2017,"Built Area",32457
2017,"Bare Ground",16119
2017,"Snow/Ice",1344
2017,"Rangeland",734601
2018,"Water",1122724
2018,"Trees",1786018
2018,"Flooded Vegetation",11258
2018,"Crops",476188
2018,"Built Area",42723
2018,"Bare Ground",678
2018,"Snow/Ice",74
2018,"Rangeland",744151
2019,"Water",1105391
2019,"Trees",1718710
2019,"Flooded Vegetation",9007
2019,"Crops",443552
2019,"Built Area",39713
2019,"Bare Ground",119
2019,"Snow/Ice",226
2019,"Rangeland",867096
2020,"Water",1105625
2020,"Trees",1768580
2020,"Flooded Vegetation",13784
2020,"Crops",408396
2020,"Built Area",40198
2020,"Bare Ground",160
2020,"Snow/Ice",8063
2020,"Rangeland",839008
2021,"Water",1133204
2021,"Trees",1714842
2021,"Flooded Vegetation",12163
2021,"Crops",425217
2021,"Built Area",44214
2021,"Bare Ground",56
2021,"Snow/Ice",55
2021,"Rangeland",854063
2022,"Water",1104321
2022,"Trees",1796833
2022,"Flooded Vegetation",17430
2022,"Crops",385982
2022,"Built Area",44331
2022,"Snow/Ice",2
2022,"Rangeland",834915
2023,"Water",1107263
2023,"Trees",1752364
2023,"Flooded Vegetation",8817
2023,"Crops",441502
2023,"Built Area",45550
2023,"Bare Ground",252
2023,"Rangeland",828066
