"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","pct_of_band"
"necr","water_core",1,"core",0,0,"stable",1059042,10590.42,100
"necr","water_core",2,"0-10",0,10,"break_endpoint",10917,109.17,23.84
"necr","water_core",2,"0-10",0,10,"break_sustained",5511,55.11,12.03
"necr","water_core",2,"0-10",0,10,"stable",2115,21.15,4.62
"necr","water_core",2,"0-10",0,10,"stable_flicker",15511,155.11,33.87
"necr","water_core",2,"0-10",0,10,"unsettled",11745,117.45,25.64
"necr","water_core",3,"10-30",10,30,"break_endpoint",6149,61.49,8.06
"necr","water_core",3,"10-30",10,30,"break_sustained",3111,31.11,4.08
"necr","water_core",3,"10-30",10,30,"stable",39029,390.29,51.14
"necr","water_core",3,"10-30",10,30,"stable_flicker",15498,154.98,20.31
"necr","water_core",3,"10-30",10,30,"unsettled",12525,125.25,16.41
"necr","water_core",4,"30-50",30,50,"break_endpoint",2704,27.04,4.5
"necr","water_core",4,"30-50",30,50,"break_sustained",1886,18.86,3.14
"necr","water_core",4,"30-50",30,50,"stable",40245,402.45,67.03
"necr","water_core",4,"30-50",30,50,"stable_flicker",8783,87.83,14.63
"necr","water_core",4,"30-50",30,50,"unsettled",6424,64.24,10.7
"necr","water_core",5,"50-100",50,100,"break_endpoint",4339,43.39,4.04
"necr","water_core",5,"50-100",50,100,"break_sustained",4115,41.15,3.83
"necr","water_core",5,"50-100",50,100,"stable",72927,729.27,67.9
"necr","water_core",5,"50-100",50,100,"stable_flicker",15892,158.92,14.8
"necr","water_core",5,"50-100",50,100,"unsettled",10135,101.35,9.44
"necr","water_core",6,"100-200",100,200,"break_endpoint",6175,61.75,4.01
"necr","water_core",6,"100-200",100,200,"break_sustained",8427,84.27,5.47
"necr","water_core",6,"100-200",100,200,"stable",105752,1057.52,68.65
"necr","water_core",6,"100-200",100,200,"stable_flicker",21364,213.64,13.87
"necr","water_core",6,"100-200",100,200,"unsettled",12332,123.32,8.01
"necr","water_core",7,"200-500",200,500,"break_endpoint",12123,121.23,4.27
"necr","water_core",7,"200-500",200,500,"break_sustained",17158,171.58,6.04
"necr","water_core",7,"200-500",200,500,"stable",197238,1972.38,69.4
