"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"necr","water_core",1,"core","Water","stable",1059042,10590.42,100
"necr","water_core",2,"0-10","Bare Ground","break_endpoint",2003,20.03,61.35
"necr","water_core",2,"0-10","Bare Ground","break_sustained",3,0.03,0.09
"necr","water_core",2,"0-10","Bare Ground","unsettled",1259,12.59,38.56
"necr","water_core",2,"0-10","Built Area","break_endpoint",26,0.26,6.95
"necr","water_core",2,"0-10","Built Area","break_sustained",42,0.42,11.23
"necr","water_core",2,"0-10","Built Area","stable",71,0.71,18.98
"necr","water_core",2,"0-10","Built Area","stable_flicker",116,1.16,31.02
"necr","water_core",2,"0-10","Built Area","unsettled",119,1.19,31.82
"necr","water_core",2,"0-10","Crops","break_endpoint",339,3.39,36.03
"necr","water_core",2,"0-10","Crops","break_sustained",54,0.54,5.74
"necr","water_core",2,"0-10","Crops","stable",2,0.02,0.21
"necr","water_core",2,"0-10","Crops","stable_flicker",102,1.02,10.84
"necr","water_core",2,"0-10","Crops","unsettled",444,4.44,47.18
"necr","water_core",2,"0-10","Flooded Vegetation","break_endpoint",416,4.16,51.74
"necr","water_core",2,"0-10","Flooded Vegetation","break_sustained",14,0.14,1.74
"necr","water_core",2,"0-10","Flooded Vegetation","stable",1,0.01,0.12
"necr","water_core",2,"0-10","Flooded Vegetation","stable_flicker",14,0.14,1.74
"necr","water_core",2,"0-10","Flooded Vegetation","unsettled",359,3.59,44.65
"necr","water_core",2,"0-10","Rangeland","break_endpoint",581,5.81,19.26
"necr","water_core",2,"0-10","Rangeland","break_sustained",253,2.53,8.39
"necr","water_core",2,"0-10","Rangeland","stable",70,0.7,2.32
"necr","water_core",2,"0-10","Rangeland","stable_flicker",480,4.8,15.92
"necr","water_core",2,"0-10","Rangeland","unsettled",1632,16.32,54.11
"necr","water_core",2,"0-10","Snow/Ice","break_endpoint",56,0.56,23.83
"necr","water_core",2,"0-10","Snow/Ice","unsettled",179,1.79,76.17
"necr","water_core",2,"0-10","Trees","break_endpoint",2582,25.82,16.83
"necr","water_core",2,"0-10","Trees","break_sustained",1626,16.26,10.6
"necr","water_core",2,"0-10","Trees","stable",1971,19.71,12.84
"necr","water_core",2,"0-10","Trees","stable_flicker",4357,43.57,28.39
"necr","water_core",2,"0-10","Trees","unsettled",4809,48.09,31.34
"necr","water_core",2,"0-10","Water","break_endpoint",4914,49.14,22.52
"necr","water_core",2,"0-10","Water","break_sustained",3519,35.19,16.13
"necr","water_core",2,"0-10","Water","stable_flicker",10442,104.42,47.86
"necr","water_core",2,"0-10","Water","unsettled",2944,29.44,13.49
"necr","water_core",3,"10-30","Bare Ground","break_endpoint",992,9.92,31.59
"necr","water_core",3,"10-30","Bare Ground","break_sustained",38,0.38,1.21
"necr","water_core",3,"10-30","Bare Ground","unsettled",2110,21.1,67.2
"necr","water_core",3,"10-30","Built Area","break_endpoint",28,0.28,1.31
"necr","water_core",3,"10-30","Built Area","break_sustained",10,0.1,0.47
"necr","water_core",3,"10-30","Built Area","stable",1734,17.34,80.99
"necr","water_core",3,"10-30","Built Area","stable_flicker",303,3.03,14.15
"necr","water_core",3,"10-30","Built Area","unsettled",66,0.66,3.08
"necr","water_core",3,"10-30","Crops","break_endpoint",354,3.54,16.03
"necr","water_core",3,"10-30","Crops","break_sustained",221,2.21,10.01
"necr","water_core",3,"10-30","Crops","stable",178,1.78,8.06
"necr","water_core",3,"10-30","Crops","stable_flicker",713,7.13,32.29
"necr","water_core",3,"10-30","Crops","unsettled",742,7.42,33.61
"necr","water_core",3,"10-30","Flooded Vegetation","break_endpoint",443,4.43,25.53
"necr","water_core",3,"10-30","Flooded Vegetation","break_sustained",80,0.8,4.61
"necr","water_core",3,"10-30","Flooded Vegetation","stable",123,1.23,7.09
"necr","water_core",3,"10-30","Flooded Vegetation","stable_flicker",101,1.01,5.82
"necr","water_core",3,"10-30","Flooded Vegetation","unsettled",988,9.88,56.95
"necr","water_core",3,"10-30","Rangeland","break_endpoint",1091,10.91,10.25
"necr","water_core",3,"10-30","Rangeland","break_sustained",688,6.88,6.46
"necr","water_core",3,"10-30","Rangeland","stable",3135,31.35,29.45
"necr","water_core",3,"10-30","Rangeland","stable_flicker",3170,31.7,29.78
"necr","water_core",3,"10-30","Rangeland","unsettled",2560,25.6,24.05
"necr","water_core",3,"10-30","Snow/Ice","break_endpoint",36,0.36,11.18
"necr","water_core",3,"10-30","Snow/Ice","break_sustained",3,0.03,0.93
"necr","water_core",3,"10-30","Snow/Ice","unsettled",283,2.83,87.89
"necr","water_core",3,"10-30","Trees","break_endpoint",2448,24.48,4.87
"necr","water_core",3,"10-30","Trees","break_sustained",1172,11.72,2.33
"necr","water_core",3,"10-30","Trees","stable",33859,338.59,67.41
"necr","water_core",3,"10-30","Trees","stable_flicker",9204,92.04,18.32
"necr","water_core",3,"10-30","Trees","unsettled",3546,35.46,7.06
"necr","water_core",3,"10-30","Water","break_endpoint",757,7.57,12.85
"necr","water_core",3,"10-30","Water","break_sustained",899,8.99,15.26
"necr","water_core",3,"10-30","Water","stable_flicker",2007,20.07,34.06
"necr","water_core",3,"10-30","Water","unsettled",2230,22.3,37.84
"necr","water_core",4,"30-50","Bare Ground","break_endpoint",389,3.89,36.53
"necr","water_core",4,"30-50","Bare Ground","break_sustained",12,0.12,1.13
"necr","water_core",4,"30-50","Bare Ground","unsettled",664,6.64,62.35
"necr","water_core",4,"30-50","Built Area","break_endpoint",7,0.07,0.55
"necr","water_core",4,"30-50","Built Area","break_sustained",5,0.05,0.4
"necr","water_core",4,"30-50","Built Area","stable",1152,11.52,91.21
