"from_class","to_class","status","break_year","n_cells","area","pct"
"Trees","Trees","stable",NA,1480283,14802.83,35.38
"Water","Water","stable",NA,1059042,10590.42,25.31
"Rangeland","Rangeland","stable",NA,414172,4141.72,9.9
"Crops","Crops","stable",NA,237036,2370.36,5.67
"Trees","Trees","flicker",NA,142062,1420.62,3.4
"Rangeland","Rangeland","flicker",NA,132738,1327.38,3.17
"Crops","Crops","flicker",NA,88679,886.79,2.12
"Trees","Rangeland","flicker",NA,59678,596.78,1.43
"Rangeland","Crops","flicker",NA,41608,416.08,0.99
"Trees","Rangeland","break",2019,41482,414.82,0.99
"Trees","Rangeland","break",2018,36747,367.47,0.88
"Crops","Rangeland","flicker",NA,30693,306.93,0.73
"Built Area","Built Area","stable",NA,28276,282.76,0.68
"Rangeland","Trees","flicker",NA,28219,282.19,0.67
"Trees","Rangeland","break",2023,22322,223.22,0.53
"Rangeland","Trees","break",2022,18665,186.65,0.45
"Water","Water","flicker",NA,16236,162.36,0.39
"Trees","Crops","flicker",NA,16220,162.2,0.39
"Rangeland","Trees","break",2018,14675,146.75,0.35
"Rangeland","Trees","break",2023,13095,130.95,0.31
"Crops","Rangeland","break",2020,12962,129.62,0.31
"Trees","Rangeland","break",2022,11393,113.93,0.27
"Crops","Rangeland","break",2019,11190,111.9,0.27
"Crops","Rangeland","break",2023,11150,111.5,0.27
"Rangeland","Crops","break",2018,10697,106.97,0.26
"Rangeland","Crops","break",2023,9790,97.9,0.23
"Crops","Rangeland","break",2018,9402,94.02,0.22
"Trees","Water","flicker",NA,7927,79.27,0.19
"Crops","Trees","flicker",NA,7913,79.13,0.19
"Trees","Rangeland","break",2021,7225,72.25,0.17
"Rangeland","Trees","break",2021,6457,64.57,0.15
"Rangeland","Trees","break",2020,6052,60.52,0.14
"Rangeland","Crops","break",2020,5892,58.92,0.14
"Rangeland","Trees","break",2019,5879,58.79,0.14
"Trees","Crops","break",2023,5833,58.33,0.14
"Trees","Rangeland","break",2020,5464,54.64,0.13
"Rangeland","Crops","break",2022,5459,54.59,0.13
"Crops","Rangeland","break",2022,5011,50.11,0.12
"Rangeland","Crops","break",2019,4890,48.9,0.12
"Rangeland","Water","flicker",NA,4562,45.62,0.11
