"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"bulk","water_core",1,"core",0,0,"stable",591901,5919.01,591901,100
"bulk","water_core",2,"0-10",0,10,"break_endpoint",15122,151.22,45440,33.28
"bulk","water_core",2,"0-10",0,10,"break_sustained",3959,39.59,45440,8.71
"bulk","water_core",2,"0-10",0,10,"stable",1275,12.75,45440,2.81
"bulk","water_core",2,"0-10",0,10,"stable_flicker",14980,149.8,45440,32.97
"bulk","water_core",2,"0-10",0,10,"unsettled",10104,101.04,45440,22.24
"bulk","water_core",3,"10-30",10,30,"break_endpoint",12230,122.3,81105,15.08
"bulk","water_core",3,"10-30",10,30,"break_sustained",3766,37.66,81105,4.64
"bulk","water_core",3,"10-30",10,30,"stable",36530,365.3,81105,45.04
"bulk","water_core",3,"10-30",10,30,"stable_flicker",13836,138.36,81105,17.06
"bulk","water_core",3,"10-30",10,30,"unsettled",14743,147.43,81105,18.18
"bulk","water_core",4,"30-50",30,50,"break_endpoint",4923,49.23,72593,6.78
"bulk","water_core",4,"30-50",30,50,"break_sustained",1929,19.29,72593,2.66
"bulk","water_core",4,"30-50",30,50,"stable",50282,502.82,72593,69.27
"bulk","water_core",4,"30-50",30,50,"stable_flicker",8055,80.55,72593,11.1
"bulk","water_core",4,"30-50",30,50,"unsettled",7404,74.04,72593,10.2
"bulk","water_core",5,"50-100",50,100,"break_endpoint",8487,84.87,146396,5.8
"bulk","water_core",5,"50-100",50,100,"break_sustained",3713,37.13,146396,2.54
"bulk","water_core",5,"50-100",50,100,"stable",107114,1071.14,146396,73.17
"bulk","water_core",5,"50-100",50,100,"stable_flicker",15342,153.42,146396,10.48
"bulk","water_core",5,"50-100",50,100,"unsettled",11740,117.4,146396,8.02
"bulk","water_core",6,"100-200",100,200,"break_endpoint",11852,118.52,229578,5.16
"bulk","water_core",6,"100-200",100,200,"break_sustained",6076,60.76,229578,2.65
"bulk","water_core",6,"100-200",100,200,"stable",171761,1717.61,229578,74.82
"bulk","water_core",6,"100-200",100,200,"stable_flicker",24442,244.42,229578,10.65
"bulk","water_core",6,"100-200",100,200,"unsettled",15447,154.47,229578,6.73
"bulk","water_core",7,"200-500",200,500,"break_endpoint",21984,219.84,446109,4.93
"bulk","water_core",7,"200-500",200,500,"break_sustained",15337,153.37,446109,3.44
"bulk","water_core",7,"200-500",200,500,"stable",332802,3328.02,446109,74.6
"bulk","water_core",7,"200-500",200,500,"stable_flicker",46581,465.81,446109,10.44
"bulk","water_core",7,"200-500",200,500,"unsettled",29405,294.05,446109,6.59
"bulk","water_core",8,">500",500,Inf,"break_endpoint",93671,936.71,2495850,3.75
"bulk","water_core",8,">500",500,Inf,"break_sustained",56155,561.55,2495850,2.25
"bulk","water_core",8,">500",500,Inf,"stable",2036157,20361.57,2495850,81.58
"bulk","water_core",8,">500",500,Inf,"stable_flicker",195417,1954.17,2495850,7.83
"bulk","water_core",8,">500",500,Inf,"unsettled",114450,1144.5,2495850,4.59
"bulk","water_2017",1,"core",0,0,"break_endpoint",9999,99.99,628719,1.59
"bulk","water_2017",1,"core",0,0,"break_sustained",3769,37.69,628719,0.6
"bulk","water_2017",1,"core",0,0,"stable",591901,5919.01,628719,94.14
"bulk","water_2017",1,"core",0,0,"stable_flicker",15459,154.59,628719,2.46
"bulk","water_2017",1,"core",0,0,"unsettled",7591,75.91,628719,1.21
"bulk","water_2017",2,"0-10",0,10,"break_endpoint",10116,101.16,46032,21.98
"bulk","water_2017",2,"0-10",0,10,"break_sustained",2788,27.88,46032,6.06
"bulk","water_2017",2,"0-10",0,10,"stable",8884,88.84,46032,19.3
