"source","disturbance_year","offset","n_patches","area_ha_unclipped","break_frac_area_wtd","discriminating"
"fire",2023,-5,5,27.3,0.926,"none"
"fire",2023,-2,2,14.1,0.956,"none"
"fire",2023,-1,3,2.1,0.802,"none"
"fire",2023,0,14,24.8,0.783,"none"
"fire",2023,NA,11,1.6,0,"none"
"harvest",2021,-3,1,2.4,0.942,"full"
"harvest",2020,-2,2,9,0.233,"full"
"harvest",2019,-1,3,1.3,0.985,"full"
"harvest",2020,-1,2,7.3,0.059,"full"
"harvest",2018,0,8,25.2,0.863,"partial"
"harvest",2019,0,2,15.5,0.975,"full"
"harvest",2020,0,2,0.9,0.484,"full"
"harvest",2021,0,3,9.2,0.914,"full"
"harvest",2022,0,5,11.4,0.833,"partial"
"harvest",2023,0,8,111.4,0.728,"none"
"harvest",2017,1,9,71.4,0.845,"none"
"harvest",2018,1,5,15,0.95,"partial"
"harvest",2019,1,1,2.1,0.942,"full"
"harvest",2020,1,16,82.7,0.911,"full"
"harvest",2021,1,5,28.3,0.955,"full"
"harvest",2022,1,8,54.5,0.94,"partial"
"harvest",2017,2,2,34.2,0.961,"none"
"harvest",2020,2,2,14.7,0.161,"full"
"harvest",2021,2,1,4.6,0.38,"full"
"harvest",2018,3,1,1.2,0.684,"partial"
"harvest",2017,4,1,0.4,1,"none"
"harvest",2019,4,1,2.2,0.466,"full"
"harvest",2017,5,1,1.8,0.955,"none"
"harvest",2018,5,2,9.2,0.238,"partial"
"harvest",2017,6,6,2.9,0.405,"none"
"harvest",2017,NA,5,0.1,0,"none"
"harvest",2018,NA,7,3.8,0,"partial"
"harvest",2020,NA,11,2.6,0,"full"
