"transition","n_repro","ha_repro","n_pub","ha_pub","d_n","d_ha"
"Trees -> Rangeland",1024,1169.40183390212,1024,1169.40183390213,0,0
"Rangeland -> Trees",699,643.363634687599,699,643.3636346876,0,0
"Crops -> Rangeland",350,386.10999999977,350,386.10999999977,0,0
"Rangeland -> Crops",353,335.509999999991,353,335.509999999991,0,0
"Trees -> Built Area",243,158.2899999999,243,158.2899999999,0,0
"Trees -> Water",457,136.839999999967,457,136.839999999967,0,0
"Bare Ground -> Trees",369,101.973343601214,369,101.973343601214,0,0
"Trees -> Crops",316,89.2999999999394,316,89.2999999999394,0,0
"Bare Ground -> Water",198,72.2089237917927,198,72.2089237917914,0,0
"Rangeland -> Water",276,63.9899999999906,276,63.9899999999906,0,0
"Bare Ground -> Rangeland",246,54.1599999999845,246,54.1599999999845,0,0
"Water -> Trees",245,42.9399999999969,245,42.9399999999969,0,0
"Rangeland -> Built Area",245,42.7104011007623,245,42.7104011007623,0,0
"Bare Ground -> Built Area",83,36.0400000000324,83,36.0400000000324,0,0
"Rangeland -> Flooded Vegetation",74,34.0799999999762,74,34.0799999999762,0,0
"Water -> Rangeland",207,32.0400000000162,207,32.0400000000162,0,0
"Flooded Vegetation -> Rangeland",94,25.0600000000036,94,25.0600000000036,0,0
"Crops -> Built Area",119,21.2099999999899,119,21.2099999999899,0,0
"Built Area -> Crops",63,17.5214258700047,63,17.5214258700047,0,0
"Built Area -> Rangeland",80,14.8557729858707,80,14.8557729858707,0,0
"Crops -> Trees",130,12.9900000000112,130,12.9900000000112,0,0
"Snow/Ice -> Rangeland",171,11.919999999994,171,11.919999999994,0,0
"Flooded Vegetation -> Trees",61,11.8099999999861,61,11.8099999999861,0,0
"Bare Ground -> Flooded Vegetation",14,11.2600000000013,14,11.2600000000013,0,0
"Water -> Built Area",68,10.2399999999918,68,10.2399999999918,0,0
"Snow/Ice -> Built Area",158,9.8099999999991,158,9.8099999999991,0,0
"Bare Ground -> Crops",68,9.64999999999394,68,9.64999999999394,0,0
"Trees -> Flooded Vegetation",49,8.80999999999821,49,8.80999999999821,0,0
"Snow/Ice -> Flooded Vegetation",20,8.65000000000899,20,8.65000000000899,0,0
"Snow/Ice -> Water",149,8.14999999999695,149,8.14999999999695,0,0
"Snow/Ice -> Trees",123,8.04786347654045,123,8.04786347654045,0,0
"Water -> Bare Ground",17,7.56441063800094,17,7.56441063800094,0,0
"Built Area -> Trees",42,5.42933735595459,42,5.42933735595459,0,0
"Crops -> Water",77,4.73999999999599,77,4.73999999999599,0,0
"Water -> Crops",42,4.02000000000247,42,4.02000000000247,0,0
"Snow/Ice -> Crops",71,3.05999999999718,71,3.05999999999718,0,0
"Rangeland -> Bare Ground",34,2.55999999999728,34,2.55999999999728,0,0
"Trees -> Bare Ground",11,2.41999999999828,11,2.41999999999828,0,0
"Water -> Flooded Vegetation",17,1.74999999999932,17,1.74999999999932,0,0
"Built Area -> Water",10,1.51000000000012,10,1.51000000000012,0,0
"Flooded Vegetation -> Water",27,1.17999999999974,27,1.17999999999974,0,0
"Clouds -> Built Area",8,1.13999999999988,8,1.13999999999988,0,0
"Built Area -> Bare Ground",2,0.88999999999865,2,0.88999999999865,0,0
"Clouds -> Water",14,0.699999999999232,14,0.699999999999232,0,0
"Flooded Vegetation -> Crops",2,0.389999999999953,2,0.389999999999953,0,0
"Clouds -> Trees",14,0.279999999999884,14,0.279999999999884,0,0
"Flooded Vegetation -> Built Area",3,0.25999999999993,3,0.25999999999993,0,0
"Snow/Ice -> Bare Ground",9,0.220000000000047,9,0.220000000000047,0,0
"Water -> Snow/Ice",3,0.110000000000442,3,0.110000000000442,0,0
"Flooded Vegetation -> Snow/Ice",1,0.0299999999999767,1,0.0299999999999767,0,0
"Clouds -> Bare Ground",3,0.0299999999999302,3,0.0299999999999302,0,0
"Rangeland -> Snow/Ice",1,0.00999999999997672,1,0.00999999999997672,0,0
"Trees -> Snow/Ice",1,0.00999999999997672,1,0.00999999999997672,0,0
