"source","disturbance_year","offset","n_patches","area_ha_unclipped","break_frac_area_wtd","discriminating"
"fire",2022,-4,1,0.1,0.714,"partial"
"fire",2021,0,1,2.1,0.953,"full"
"fire",2022,0,1,0,1,"partial"
"fire",2017,1,3,1.5,0.787,"none"
"fire",2021,1,2,2.7,0.996,"full"
"fire",2022,1,34,9.1,0.637,"partial"
"fire",2017,2,7,3,0.875,"none"
"fire",2020,2,1,1.2,0.683,"full"
"fire",2021,2,5,2.2,0.821,"full"
"fire",2017,3,7,0.7,0.653,"none"
"fire",2020,3,1,2.1,0.028,"full"
"fire",2017,4,1,0,0.5,"none"
"fire",2017,6,7,3.4,0.41,"none"
"fire",2017,NA,3,0,0,"none"
"fire",2021,NA,1,0,0,"full"
"fire",2022,NA,16,0.4,0,"partial"
"harvest",2022,-4,1,1,0.663,"partial"
"harvest",2021,-3,1,0.1,0.75,"full"
"harvest",2018,0,2,13.7,0.948,"partial"
"harvest",2019,0,3,11.3,0.934,"full"
"harvest",2020,0,3,17.5,0.86,"full"
"harvest",2021,0,3,88.4,0.971,"full"
"harvest",2023,0,1,0.2,1,"none"
"harvest",2019,1,2,2.3,0.831,"full"
"harvest",2020,1,1,0.4,1,"full"
"harvest",2021,1,10,18,0.927,"full"
"harvest",2022,1,2,11.2,0.992,"partial"
"harvest",2020,2,1,2,0.744,"full"
"harvest",2021,2,4,1.7,0.162,"full"
"harvest",2018,4,1,0.1,1,"partial"
"harvest",2019,4,1,0.2,0.25,"full"
"harvest",2018,5,4,4.6,0.58,"partial"
"harvest",2018,NA,1,0,0,"partial"
"harvest",2019,NA,1,0.1,0,"full"
"harvest",2021,NA,2,0,0,"full"
