"transition","n_repro","ha_repro","n_pub","ha_pub","d_n","d_ha"
"Flooded Vegetation -> Rangeland",157,578.619999999998,157,578.619999999998,0,0
"Trees -> Rangeland",426,325.818595900044,426,325.818595900041,0,0
"Rangeland -> Crops",169,261.990000000069,169,261.990000000069,0,0
"Crops -> Rangeland",267,248.66775916133,267,248.667759161328,0,0
"Rangeland -> Trees",444,231.905708240667,444,231.905708240667,0,0
"Rangeland -> Built Area",214,171.567773732149,214,171.567773732147,0,0
"Trees -> Built Area",229,130.840000000018,229,130.840000000018,0,0
"Water -> Flooded Vegetation",81,106.23,81,106.23,0,0
"Flooded Vegetation -> Water",119,85.4700000000412,119,85.4700000000412,0,0
"Rangeland -> Flooded Vegetation",88,70.2600000000172,88,70.2600000000172,0,0
"Water -> Rangeland",287,53.799891300768,287,53.799891300768,0,0
"Trees -> Water",249,51.0367251313359,249,51.0367251313359,0,0
"Bare Ground -> Built Area",148,51.0076168350853,148,51.0076168350853,0,0
"Rangeland -> Water",334,46.9593056037182,334,46.9593056037182,0,0
"Flooded Vegetation -> Trees",113,30.9686915525408,113,30.9686915525408,0,0
"Water -> Trees",194,29.3229346946736,194,29.3229346946748,0,0
"Crops -> Built Area",66,28.3477193620336,66,28.3477193620327,0,0
"Flooded Vegetation -> Crops",55,26.8700000000291,55,26.8700000000291,0,0
"Bare Ground -> Water",149,22.5000000000051,149,22.5000000000051,0,0
"Crops -> Flooded Vegetation",34,21.590000000008,34,21.590000000008,0,0
"Crops -> Water",95,21.0569753163832,95,21.0569753163782,0,0
"Built Area -> Trees",68,17.5700000000042,68,17.5700000000042,0,0
"Crops -> Trees",130,16.7499999999919,130,16.7499999999919,0,0
"Built Area -> Crops",25,16.5200000000044,25,16.5200000000044,0,0
"Built Area -> Rangeland",72,14.9500000000105,72,14.9500000000105,0,0
"Water -> Built Area",91,14.6500000000077,91,14.6500000000077,0,0
"Trees -> Crops",73,14.3376079644126,73,14.3376079644126,0,0
"Trees -> Flooded Vegetation",33,12.8800000000078,33,12.8800000000078,0,0
"Bare Ground -> Trees",120,11.2274928734239,120,11.2274928734239,0,0
"Built Area -> Water",90,10.8200000000062,90,10.8200000000062,0,0
"Water -> Bare Ground",62,9.99000000000168,62,9.99000000000168,0,0
"Bare Ground -> Rangeland",84,9.49592502702344,84,9.49592502702344,0,0
"Water -> Crops",33,5.60000000000489,33,5.60000000000489,0,0
"Built Area -> Bare Ground",53,4.04000000000106,53,4.04000000000106,0,0
"Flooded Vegetation -> Built Area",1,1.24000000000002,1,1.24000000000002,0,0
"Trees -> Bare Ground",29,1.03000000000006,29,1.03000000000006,0,0
"Rangeland -> Bare Ground",28,0.830000000000524,28,0.830000000000524,0,0
"Bare Ground -> Flooded Vegetation",4,0.530000000000303,4,0.530000000000303,0,0
"Trees -> Snow/Ice",2,0.170000000000233,2,0.170000000000233,0,0
"Flooded Vegetation -> Bare Ground",2,0.0899999999999534,2,0.0899999999999534,0,0
"Bare Ground -> Crops",3,0.0700000000001048,3,0.0700000000001048,0,0
"Crops -> Bare Ground",3,0.0400000000000233,3,0.0400000000000233,0,0
"Bare Ground -> Snow/Ice",1,0.0400000000000116,1,0.0400000000000116,0,0
"Snow/Ice -> Bare Ground",1,0.0400000000000116,1,0.0400000000000116,0,0
"Built Area -> Flooded Vegetation",1,0.0299999999999884,1,0.0299999999999884,0,0
"Water -> Snow/Ice",2,0.0200000000000233,2,0.0200000000000233,0,0
