"stratum","population","n_patches","area_ha_unclipped","area_ha_eval","flicker_frac_area_wtd","break_frac_area_wtd"
"all","harvest_touching",44,172.8,172.8,0.074,0.926
"all","fire_touching",91,28.8,28.8,0.336,0.664
"all","untagged_residual",4794,2567.4,2556.2,0.453,0.547
"sliver","harvest_touching",15,1.6,1.6,0.297,0.703
"sliver","fire_touching",72,7.1,7.1,0.432,0.568
"sliver","untagged_residual",4006,336,334.6,0.543,0.457
"wider","harvest_touching",29,171.2,171.2,0.072,0.928
"wider","fire_touching",19,21.7,21.7,0.305,0.695
"wider","untagged_residual",788,2231.4,2221.6,0.44,0.56
"ge_0.5_ha","harvest_touching",25,169.8,169.8,0.07,0.93
"ge_0.5_ha","fire_touching",15,21.4,21.4,0.296,0.704
"ge_0.5_ha","untagged_residual",673,2253.4,2242.9,0.435,0.565
