"source","disturbance_year","offset","n_patches","area_ha_unclipped","break_frac_area_wtd","discriminating"
"fire",2023,-1,1,0.9,0.352,"none"
"fire",2017,6,2,8,0.633,"none"
"fire",2017,NA,4,0.1,0,"none"
"harvest",2023,-5,1,0.6,0.6,"none"
"harvest",2020,-2,1,1.2,0.636,"full"
"harvest",2019,0,3,3.8,0.859,"full"
"harvest",2017,1,1,3.1,0.918,"none"
"harvest",2018,1,1,1.6,0.671,"partial"
"harvest",2020,1,2,8.7,1,"full"
"harvest",2021,1,2,8.1,1,"full"
"harvest",2020,2,1,2.6,1,"full"
"harvest",2021,2,1,0.5,0.635,"full"
"harvest",2020,3,1,0.1,0.083,"full"
"harvest",2020,NA,1,0.1,0,"full"
