"transition","n_repro","ha_repro","n_pub","ha_pub","d_n","d_ha"
"Rangeland -> Crops",228,216.949999999974,228,216.949999999974,0,0
"Trees -> Rangeland",342,191.459999999988,342,191.459999999988,0,0
"Crops -> Rangeland",227,186.90000000023,227,186.900000000229,0,0
"Water -> Bare Ground",93,133.566646635394,93,133.566646635394,0,0
"Rangeland -> Built Area",163,93.3100297415918,163,93.3100297415918,0,0
"Trees -> Built Area",109,46.1700000000264,109,46.1700000000264,0,0
"Rangeland -> Trees",158,39.7056896080774,158,39.7056896080774,0,0
"Bare Ground -> Built Area",51,38.1999999999678,51,38.1999999999678,0,0
"Crops -> Built Area",104,25.1399999999763,104,25.1399999999763,0,0
"Trees -> Crops",138,23.2100000000032,138,23.2100000000032,0,0
"Built Area -> Rangeland",88,23.0500000000053,88,23.0500000000053,0,0
"Bare Ground -> Water",87,20.8399999999492,87,20.8399999999492,0,0
"Water -> Rangeland",189,18.6100000000091,189,18.6100000000091,0,0
"Flooded Vegetation -> Rangeland",24,13.5400000000067,24,13.5400000000067,0,0
"Bare Ground -> Rangeland",80,13.1200000000006,80,13.1200000000006,0,0
"Trees -> Water",108,10.9899999999988,108,10.9899999999988,0,0
"Rangeland -> Water",69,9.98000000002048,69,9.98000000002048,0,0
"Water -> Trees",115,7.83000000000083,115,7.83000000000083,0,0
"Built Area -> Crops",42,6.33999999999823,42,6.33999999999823,0,0
"Flooded Vegetation -> Trees",37,5.83000000000149,37,5.83000000000149,0,0
"Water -> Built Area",37,4.80000000000326,37,4.80000000000326,0,0
"Bare Ground -> Trees",47,4.79999999999702,47,4.79999999999702,0,0
"Built Area -> Trees",21,3.34000000000419,21,3.34000000000419,0,0
"Crops -> Trees",50,3.19000000000438,50,3.19000000000438,0,0
"Water -> Crops",24,2.34000000000196,24,2.34000000000196,0,0
"Crops -> Water",14,1.33999999999944,14,1.33999999999944,0,0
"Bare Ground -> Crops",19,0.960000000001583,19,0.960000000001583,0,0
"Rangeland -> Bare Ground",25,0.960000000000838,25,0.960000000000838,0,0
"Crops -> Bare Ground",6,0.43999999999851,6,0.43999999999851,0,0
"Flooded Vegetation -> Water",18,0.420000000000093,18,0.420000000000093,0,0
"Water -> Flooded Vegetation",2,0.23,2,0.23,0,0
"Built Area -> Water",5,0.210000000000838,5,0.210000000000838,0,0
"Built Area -> Bare Ground",7,0.188636065001133,7,0.188636065001133,0,0
"Trees -> Bare Ground",11,0.18,11,0.18,0,0
"Clouds -> Trees",5,0.13,5,0.13,0,0
"Clouds -> Crops",2,0.100000000000093,2,0.100000000000093,0,0
"Flooded Vegetation -> Bare Ground",3,0.07,3,0.07,0,0
"Rangeland -> Flooded Vegetation",2,0.03,2,0.03,0,0
"Flooded Vegetation -> Crops",1,0.02,1,0.02,0,0
"Clouds -> Built Area",1,0.01,1,0.01,0,0
"Clouds -> Rangeland",1,0.01,1,0.01,0,0
