"stratum","population","n_patches","area_ha_unclipped","area_ha_eval","flicker_frac_area_wtd","break_frac_area_wtd"
"all","harvest_touching",15,30.3,30.3,0.078,0.922
"all","fire_touching",7,9,9,0.404,0.596
"all","untagged_residual",2731,1112.1,1109.2,0.495,0.505
"sliver","harvest_touching",3,0.7,0.7,0.521,0.479
"sliver","fire_touching",4,0.1,0.1,1,0
"sliver","untagged_residual",2186,146.4,146.4,0.631,0.369
"wider","harvest_touching",12,29.6,29.6,0.068,0.932
"wider","fire_touching",3,8.9,8.9,0.396,0.604
"wider","untagged_residual",545,965.7,962.8,0.475,0.525
"ge_0.5_ha","harvest_touching",13,30.1,30.1,0.073,0.927
"ge_0.5_ha","fire_touching",3,8.9,8.9,0.396,0.604
"ge_0.5_ha","untagged_residual",411,935.2,932.3,0.469,0.531
