"source","disturbance_year","offset","n_patches","area_ha_unclipped","break_frac_area_wtd","discriminating"
"fire",2023,-5,7,8,0.777,"none"
"fire",2023,-3,2,3.6,0.937,"none"
"fire",2023,-2,2,7.3,0.893,"none"
"fire",2018,0,35,45.7,0.847,"partial"
"fire",2023,0,28,43.3,0.907,"none"
"fire",2017,1,17,45.1,0.783,"none"
"fire",2018,1,33,414.7,0.806,"partial"
"fire",2017,2,1,4,0.746,"none"
"fire",2018,2,2,1.5,0.742,"partial"
"fire",2017,3,5,2.5,0.547,"none"
"fire",2018,3,1,0.1,1,"partial"
"fire",2017,4,1,1.5,0.007,"none"
"fire",2018,4,3,0.4,0.163,"partial"
"fire",2017,5,1,0,0.6,"none"
"fire",2018,5,3,1.7,0.509,"partial"
"fire",2017,6,2,1.3,0.56,"none"
"fire",2017,NA,13,5.3,0,"none"
"fire",2018,NA,10,0.2,0,"partial"
"fire",2023,NA,23,3,0,"none"
"harvest",2023,-5,1,2.3,0.664,"none"
"harvest",2021,-3,2,7.3,0.852,"full"
"harvest",2020,-2,1,11.7,0.932,"full"
"harvest",2022,-2,1,0.7,0.973,"partial"
"harvest",2019,-1,2,8.8,0.478,"full"
"harvest",2020,-1,4,10.3,0.855,"full"
"harvest",2021,-1,1,24.5,0.875,"full"
"harvest",2022,-1,1,1.1,0.632,"partial"
"harvest",2018,0,15,29.6,0.581,"partial"
"harvest",2019,0,7,12.8,0.718,"full"
"harvest",2020,0,3,5.5,0.838,"full"
"harvest",2021,0,6,11.8,0.777,"full"
"harvest",2022,0,10,106.7,0.771,"partial"
"harvest",2023,0,8,18.5,0.906,"none"
"harvest",2017,1,11,38.1,0.905,"none"
"harvest",2018,1,3,36.2,0.394,"partial"
"harvest",2019,1,7,25.3,0.76,"full"
"harvest",2020,1,7,40.4,0.949,"full"
"harvest",2021,1,13,37.9,0.873,"full"
"harvest",2022,1,20,41.1,0.903,"partial"
"harvest",2017,2,4,70.1,0.952,"none"
"harvest",2018,2,1,10.7,0.388,"partial"
"harvest",2019,2,1,3.5,0.392,"full"
"harvest",2020,2,3,8.7,0.832,"full"
"harvest",2021,2,7,26.7,0.746,"full"
"harvest",2017,3,1,2,0.832,"none"
"harvest",2019,3,2,29.1,0.549,"full"
"harvest",2020,3,1,5.4,0.485,"full"
"harvest",2017,4,1,1.6,0.968,"none"
"harvest",2018,4,2,10.3,0.033,"partial"
"harvest",2019,4,4,9.1,0.81,"full"
"harvest",2018,5,5,59.6,0.269,"partial"
"harvest",2017,6,3,3.8,0.721,"none"
"harvest",2018,NA,25,6.8,0,"partial"
"harvest",2019,NA,1,0,0,"full"
"harvest",2020,NA,4,0.2,0,"full"
"harvest",2021,NA,3,1.3,0,"full"
"harvest",2022,NA,2,0.2,0,"partial"
