"transition","n_repro","ha_repro","n_pub","ha_pub","d_n","d_ha"
"Trees -> Rangeland",894,1569.78405436046,894,1569.78405436046,0,0
"Crops -> Rangeland",424,787.280000000138,424,787.280000000138,0,0
"Rangeland -> Crops",429,759.950000000148,429,759.950000000148,0,0
"Rangeland -> Trees",716,723.960000000006,716,723.960000000006,0,0
"Trees -> Crops",481,271.090000000012,481,271.090000000012,0,0
"Crops -> Trees",415,116.400000000034,415,116.400000000034,0,0
"Trees -> Water",245,58.3617877410855,245,58.3617877410847,0,0
"Bare Ground -> Trees",186,40.7600000000208,186,40.7600000000208,0,0
"Trees -> Built Area",114,40.6300000000121,114,40.6300000000121,0,0
"Rangeland -> Water",237,39.6299999999992,237,39.6299999999992,0,0
"Flooded Vegetation -> Rangeland",104,30.1299999999978,104,30.1299999999978,0,0
"Bare Ground -> Rangeland",135,29.6500000000065,135,29.6500000000065,0,0
"Rangeland -> Built Area",76,28.5200000000089,76,28.5200000000089,0,0
"Flooded Vegetation -> Water",71,28.3799999999991,71,28.3799999999991,0,0
"Water -> Rangeland",180,26.3599999999937,180,26.3599999999937,0,0
"Water -> Trees",157,24.0500000000004,157,24.0500000000004,0,0
"Rangeland -> Flooded Vegetation",37,21.3900000000114,37,21.3900000000114,0,0
"Bare Ground -> Water",127,19.7599999999893,127,19.7599999999893,0,0
"Crops -> Built Area",67,15.4799999999928,67,15.4799999999928,0,0
"Bare Ground -> Built Area",40,13.8100000000065,40,13.8100000000065,0,0
"Crops -> Water",86,11.5600000000083,86,11.5600000000083,0,0
"Water -> Crops",47,9.05000000000333,47,9.05000000000333,0,0
"Water -> Flooded Vegetation",19,7.38000000000715,19,7.38000000000715,0,0
"Flooded Vegetation -> Trees",38,5.57000000000016,38,5.57000000000016,0,0
"Bare Ground -> Crops",25,5.31999999999762,25,5.31999999999762,0,0
"Snow/Ice -> Rangeland",93,5.25000000000031,93,5.25000000000031,0,0
"Built Area -> Rangeland",25,4.9099999999947,25,4.9099999999947,0,0
"Trees -> Flooded Vegetation",30,3.31999999999799,30,3.31999999999799,0,0
"Crops -> Flooded Vegetation",8,3.02000000000246,8,3.02000000000246,0,0
"Built Area -> Trees",15,2.58999999999879,15,2.58999999999879,0,0
"Water -> Bare Ground",2,1.92000000000206,2,1.92000000000206,0,0
"Snow/Ice -> Trees",40,1.58000000000041,40,1.58000000000041,0,0
"Built Area -> Crops",23,1.34000000000021,23,1.34000000000021,0,0
"Water -> Built Area",32,1.16000000000019,32,1.16000000000019,0,0
"Flooded Vegetation -> Crops",7,1.00000000000002,7,1.00000000000002,0,0
"Snow/Ice -> Water",34,0.860000000000385,34,0.860000000000385,0,0
"Snow/Ice -> Built Area",10,0.610000000000443,10,0.610000000000442,0,0
"Snow/Ice -> Crops",10,0.260000000000233,10,0.260000000000233,0,0
"Rangeland -> Bare Ground",1,0.219999999999919,1,0.219999999999919,0,0
"Snow/Ice -> Flooded Vegetation",5,0.140000000000407,5,0.140000000000407,0,0
"Bare Ground -> Flooded Vegetation",4,0.0800000000001397,4,0.0800000000001397,0,0
"Built Area -> Water",1,0.0600000000000349,1,0.0600000000000349,0,0
"Flooded Vegetation -> Built Area",1,0.0200000000000233,1,0.0200000000000233,0,0
"Built Area -> Flooded Vegetation",1,0.0100000000000116,1,0.0100000000000116,0,0
