"source","year","n_patches","area_ha","n_events","discriminating","group"
"fire",2023,35,69.9,2,"none","bulk"
"harvest",2017,24,110.8,NA,"none","bulk"
"harvest",2018,23,54.4,NA,"partial","bulk"
"harvest",2019,7,21.1,NA,"full","bulk"
"harvest",2020,35,117.1,NA,"full","bulk"
"harvest",2021,10,44.5,NA,"full","bulk"
"harvest",2022,13,65.9,NA,"partial","bulk"
"harvest",2023,8,111.4,NA,"none","bulk"
"fire",2017,40,59.8,1,"none","necr"
"fire",2018,87,457.4,2,"partial","necr"
"fire",2023,62,65.3,2,"none","necr"
"harvest",2017,20,115.5,NA,"none","necr"
"harvest",2018,51,153.2,NA,"partial","necr"
"harvest",2019,24,88.6,NA,"full","necr"
"harvest",2020,23,82.4,NA,"full","necr"
"harvest",2021,32,109.5,NA,"full","necr"
"harvest",2022,34,149.9,NA,"partial","necr"
"harvest",2023,9,20.8,NA,"none","necr"
"fire",2017,6,8.1,1,"none","lnth"
"fire",2023,1,0.9,1,"none","lnth"
"harvest",2017,1,3.1,NA,"none","lnth"
"harvest",2018,1,1.6,NA,"partial","lnth"
"harvest",2019,3,3.8,NA,"full","lnth"
"harvest",2020,6,12.6,NA,"full","lnth"
"harvest",2021,3,8.6,NA,"full","lnth"
"harvest",2023,1,0.6,NA,"none","lnth"
"fire",2017,28,8.8,2,"none","kotl"
"fire",2020,2,3.3,1,"full","kotl"
"fire",2021,9,7.1,1,"full","kotl"
"fire",2022,52,9.6,1,"partial","kotl"
"harvest",2018,8,18.3,NA,"partial","kotl"
"harvest",2019,7,13.9,NA,"full","kotl"
"harvest",2020,5,19.9,NA,"full","kotl"
"harvest",2021,20,108.2,NA,"full","kotl"
"harvest",2022,3,12.2,NA,"partial","kotl"
"harvest",2023,1,0.2,NA,"none","kotl"
