"stratum","population","n_patches","area_ha_unclipped","area_ha_eval","flicker_frac_area_wtd","break_frac_area_wtd","group"
"all","harvest_touching",120,525.3,525.3,0.207,0.793,"bulk"
"all","fire_touching",35,69.9,69.9,0.143,0.857,"bulk"
"all","untagged_residual",7008,3071.2,3068.4,0.475,0.525,"bulk"
"sliver","harvest_touching",44,4.5,4.5,0.362,0.638,"bulk"
"sliver","fire_touching",19,1.2,1.2,0.554,0.446,"bulk"
"sliver","untagged_residual",5700,412.8,412.6,0.634,0.366,"bulk"
"wider","harvest_touching",76,520.8,520.8,0.205,0.795,"bulk"
"wider","fire_touching",16,68.7,68.7,0.136,0.864,"bulk"
"wider","untagged_residual",1308,2658.4,2655.8,0.45,0.55,"bulk"
"ge_0.5_ha","harvest_touching",70,518.8,518.8,0.204,0.796,"bulk"
"ge_0.5_ha","fire_touching",15,68.2,68.2,0.13,0.87,"bulk"
"ge_0.5_ha","untagged_residual",1030,2625.9,2623.6,0.441,0.559,"bulk"
"all","harvest_touching",193,719.9,719.9,0.28,0.72,"necr"
"all","fire_touching",189,589.4,582.5,0.201,0.799,"necr"
"all","untagged_residual",5323,3509.7,3508.6,0.429,0.571,"necr"
"sliver","harvest_touching",49,3.2,3.2,0.545,0.455,"necr"
"sliver","fire_touching",98,6.1,6.1,0.557,0.443,"necr"
"sliver","untagged_residual",4106,290.3,289.2,0.615,0.385,"necr"
"wider","harvest_touching",144,716.7,716.7,0.279,0.721,"necr"
"wider","fire_touching",91,583.3,576.4,0.197,0.803,"necr"
"wider","untagged_residual",1217,3219.4,3219.4,0.412,0.588,"necr"
"ge_0.5_ha","harvest_touching",135,713.7,713.7,0.278,0.722,"necr"
"ge_0.5_ha","fire_touching",85,581.6,574.6,0.196,0.804,"necr"
"ge_0.5_ha","untagged_residual",1012,3188.8,3187.7,0.407,0.593,"necr"
"all","harvest_touching",15,30.3,30.3,0.078,0.922,"lnth"
"all","fire_touching",7,9,9,0.404,0.596,"lnth"
"all","untagged_residual",2731,1112.1,1109.2,0.495,0.505,"lnth"
"sliver","harvest_touching",3,0.7,0.7,0.521,0.479,"lnth"
"sliver","fire_touching",4,0.1,0.1,1,0,"lnth"
"sliver","untagged_residual",2186,146.4,146.4,0.631,0.369,"lnth"
"wider","harvest_touching",12,29.6,29.6,0.068,0.932,"lnth"
"wider","fire_touching",3,8.9,8.9,0.396,0.604,"lnth"
"wider","untagged_residual",545,965.7,962.8,0.475,0.525,"lnth"
"ge_0.5_ha","harvest_touching",13,30.1,30.1,0.073,0.927,"lnth"
"ge_0.5_ha","fire_touching",3,8.9,8.9,0.396,0.604,"lnth"
"ge_0.5_ha","untagged_residual",411,935.2,932.3,0.469,0.531,"lnth"
"all","harvest_touching",44,172.8,172.8,0.074,0.926,"kotl"
"all","fire_touching",91,28.8,28.8,0.336,0.664,"kotl"
"all","untagged_residual",4794,2567.4,2556.2,0.453,0.547,"kotl"
"sliver","harvest_touching",15,1.6,1.6,0.297,0.703,"kotl"
"sliver","fire_touching",72,7.1,7.1,0.432,0.568,"kotl"
"sliver","untagged_residual",4006,336,334.6,0.543,0.457,"kotl"
"wider","harvest_touching",29,171.2,171.2,0.072,0.928,"kotl"
"wider","fire_touching",19,21.7,21.7,0.305,0.695,"kotl"
"wider","untagged_residual",788,2231.4,2221.6,0.44,0.56,"kotl"
"ge_0.5_ha","harvest_touching",25,169.8,169.8,0.07,0.93,"kotl"
"ge_0.5_ha","fire_touching",15,21.4,21.4,0.296,0.704,"kotl"
"ge_0.5_ha","untagged_residual",673,2253.4,2242.9,0.435,0.565,"kotl"
