"x","y","valid_ha","stable_ha","sustained_ha","endpoint_ha","unsettled_ha","stable_flicker_ha"
612322.648224166,6146890.06916606,0.16,0.16,0,0,0,0
613322.648224166,6146890.06916606,1.73,1.73,0,0,0,0
611322.648224166,6145890.06916606,0.03,0.03,0,0,0,0
612322.648224166,6145890.06916606,0.1,0.1,0,0,0,0
613322.648224166,6145890.06916606,3.11,3.11,0,0,0,0
614322.648224166,6145890.06916606,0.38,0.38,0,0,0,0
610322.648224166,6144890.06916606,1.24,1.24,0,0,0,0
611322.648224166,6144890.06916606,0.99,0.99,0,0,0,0
612322.648224166,6144890.06916606,0.78,0.78,0,0,0,0
613322.648224166,6144890.06916606,0.71,0.71,0,0,0,0
614322.648224166,6144890.06916606,3.19,3.19,0,0,0,0
615322.648224166,6144890.06916606,2.51,2.51,0,0,0,0
609322.648224166,6143890.06916606,0.23,0.1,0,0,0,0.13
610322.648224166,6143890.06916606,1.66,1.48,0,0,0,0.18
614322.648224166,6143890.06916606,2.69,2.69,0,0,0,0
615322.648224166,6143890.06916606,16.06,16.06,0,0,0,0
616322.648224166,6143890.06916606,1.8,1.8,0,0,0,0
617322.648224166,6143890.06916606,0.52,0.52,0,0,0,0
609322.648224166,6142890.06916606,0.49,0.49,0,0,0,0
614322.648224166,6142890.06916606,12.43,12.43,0,0,0,0
617322.648224166,6142890.06916606,4.94,4.78,0,0,0,0.16
613322.648224166,6141890.06916606,4.72,4.72,0,0,0,0
614322.648224166,6141890.06916606,3.55,3.55,0,0,0,0
617322.648224166,6141890.06916606,2.34,2.34,0,0,0,0
618322.648224166,6141890.06916606,2.98,2.98,0,0,0,0
613322.648224166,6140890.06916606,2.1,2.1,0,0,0,0
619322.648224166,6140890.06916606,0.16,0.16,0,0,0,0
620322.648224166,6140890.06916606,1.22,1.22,0,0,0,0
612322.648224166,6139890.06916606,3.2,3.2,0,0,0,0
612322.648224166,6138890.06916606,1.67,1.67,0,0,0,0
611322.648224166,6137890.06916606,0.84,0.84,0,0,0,0
612322.648224166,6137890.06916606,1.16,1.16,0,0,0,0
617322.648224166,6137890.06916606,2.41,2.41,0,0,0,0
618322.648224166,6137890.06916606,1.41,1.41,0,0,0,0
619322.648224166,6137890.06916606,0.32,0.32,0,0,0,0
603322.648224166,6136890.06916606,4.8,4.8,0,0,0,0
611322.648224166,6136890.06916606,3.02,3.02,0,0,0,0
616322.648224166,6136890.06916606,1.09,1.04,0,0.05,0,0
617322.648224166,6136890.06916606,1.89,1.89,0,0,0,0
630322.648224166,6136890.06916606,0.44,0.44,0,0,0,0
602322.648224166,6135890.06916606,0.7,0.7,0,0,0,0
603322.648224166,6135890.06916606,49.18,42.23,0.61,0,0,6.34
604322.648224166,6135890.06916606,8.56,8.56,0,0,0,0
611322.648224166,6135890.06916606,1.79,1.79,0,0,0,0
612322.648224166,6135890.06916606,0.59,0.59,0,0,0,0
616322.648224166,6135890.06916606,1.73,1.42,0,0.31,0,0
626322.648224166,6135890.06916606,0.48,0.48,0,0,0,0
630322.648224166,6135890.06916606,1.42,1.42,0,0,0,0
602322.648224166,6134890.06916606,1.4,1.4,0,0,0,0
603322.648224166,6134890.06916606,0.05,0.05,0,0,0,0
604322.648224166,6134890.06916606,0.77,0.77,0,0,0,0
611322.648224166,6134890.06916606,1.59,1.59,0,0,0,0
612322.648224166,6134890.06916606,0.86,0.86,0,0,0,0
616322.648224166,6134890.06916606,1.72,1.13,0,0.59,0,0
617322.648224166,6134890.06916606,0.81,0.77,0,0.04,0,0
626322.648224166,6134890.06916606,10.8,10.8,0,0,0,0
628322.648224166,6134890.06916606,0.05,0.05,0,0,0,0
629322.648224166,6134890.06916606,5.08,5.08,0,0,0,0
630322.648224166,6134890.06916606,4.35,4.35,0,0,0,0
634322.648224166,6134890.06916606,0.84,0.84,0,0,0,0
605322.648224166,6133890.06916606,0.9,0.9,0,0,0,0
606322.648224166,6133890.06916606,1.46,1.46,0,0,0,0
607322.648224166,6133890.06916606,0.18,0.18,0,0,0,0
611322.648224166,6133890.06916606,2.01,2.01,0,0,0,0
612322.648224166,6133890.06916606,0.83,0.83,0,0,0,0
613322.648224166,6133890.06916606,2.19,2.19,0,0,0,0
614322.648224166,6133890.06916606,0.34,0.34,0,0,0,0
617322.648224166,6133890.06916606,0.62,0.62,0,0,0,0
624322.648224166,6133890.06916606,0.97,0.97,0,0,0,0
625322.648224166,6133890.06916606,6.65,6.65,0,0,0,0
626322.648224166,6133890.06916606,3.57,3.57,0,0,0,0
627322.648224166,6133890.06916606,1.94,1.94,0,0,0,0
628322.648224166,6133890.06916606,2.09,2.09,0,0,0,0
629322.648224166,6133890.06916606,0.34,0.34,0,0,0,0
630322.648224166,6133890.06916606,11.58,11.58,0,0,0,0
631322.648224166,6133890.06916606,32.99,32.73,0,0.26,0,0
632322.648224166,6133890.06916606,16.39,16.04,0,0.35,0,0
633322.648224166,6133890.06916606,2.68,2.42,0,0.05,0.01,0.2
634322.648224166,6133890.06916606,9.67,9.67,0,0,0,0
607322.648224166,6132890.06916606,2.01,2.01,0,0,0,0
608322.648224166,6132890.06916606,0.49,0.49,0,0,0,0
610322.648224166,6132890.06916606,1.89,1.89,0,0,0,0
611322.648224166,6132890.06916606,4.56,4.56,0,0,0,0
612322.648224166,6132890.06916606,0.04,0.04,0,0,0,0
614322.648224166,6132890.06916606,0.65,0.65,0,0,0,0
615322.648224166,6132890.06916606,1.46,1.46,0,0,0,0
616322.648224166,6132890.06916606,1.12,1.12,0,0,0,0
622322.648224166,6132890.06916606,1.6,1.6,0,0,0,0
623322.648224166,6132890.06916606,5.33,5.33,0,0,0,0
624322.648224166,6132890.06916606,2.67,2.67,0,0,0,0
631322.648224166,6132890.06916606,3.9,3.9,0,0,0,0
632322.648224166,6132890.06916606,2.58,2.45,0,0.13,0,0
633322.648224166,6132890.06916606,42.01,40.39,0.02,1.05,0.08,0.47
634322.648224166,6132890.06916606,31.06,30.58,0.02,0.19,0.13,0.14
608322.648224166,6131890.06916606,1.19,1.19,0,0,0,0
609322.648224166,6131890.06916606,3.31,3.31,0,0,0,0
610322.648224166,6131890.06916606,2.7,2.7,0,0,0,0
621322.648224166,6131890.06916606,2.28,2.28,0,0,0,0
622322.648224166,6131890.06916606,1.44,1.44,0,0,0,0
633322.648224166,6131890.06916606,4.79,4.79,0,0,0,0
608322.648224166,6130890.06916606,0.02,0.02,0,0,0,0
609322.648224166,6130890.06916606,5.63,5.63,0,0,0,0
620322.648224166,6130890.06916606,2.96,2.91,0,0.05,0,0
621322.648224166,6130890.06916606,0.5,0.5,0,0,0,0
609322.648224166,6129890.06916606,6.29,5.23,0,1.06,0,0
619322.648224166,6129890.06916606,2.03,2.03,0,0,0,0
620322.648224166,6129890.06916606,0.67,0.67,0,0,0,0
609322.648224166,6128890.06916606,7.13,7.13,0,0,0,0
613322.648224166,6128890.06916606,1.26,1.26,0,0,0,0
614322.648224166,6128890.06916606,13.8,13.8,0,0,0,0
618322.648224166,6128890.06916606,5.43,5.43,0,0,0,0
619322.648224166,6128890.06916606,5.11,5.11,0,0,0,0
598322.648224166,6127890.06916606,0.34,0.34,0,0,0,0
609322.648224166,6127890.06916606,16.21,13.69,0.01,0.14,0.7,1.67
610322.648224166,6127890.06916606,15.84,11.84,0.07,0.76,1.73,1.44
611322.648224166,6127890.06916606,24.04,20.89,0.17,0.35,0.92,1.71
612322.648224166,6127890.06916606,14.6,11.08,0.02,0.48,0.84,2.18
613322.648224166,6127890.06916606,20.19,14.67,0.01,1.46,2.17,1.88
614322.648224166,6127890.06916606,17.7,16.38,0,0.55,0.45,0.32
615322.648224166,6127890.06916606,27.42,22.34,0,1.81,2.68,0.59
616322.648224166,6127890.06916606,8.9,7.35,0,0.39,0.5,0.66
617322.648224166,6127890.06916606,15.56,15.54,0,0.02,0,0
618322.648224166,6127890.06916606,8.84,8.84,0,0,0,0
598322.648224166,6126890.06916606,1.23,1.23,0,0,0,0
603322.648224166,6126890.06916606,1.34,1.34,0,0,0,0
605322.648224166,6126890.06916606,15.44,11.94,0.02,0.22,0.68,2.58
606322.648224166,6126890.06916606,16.79,11.31,0.01,0.7,1.69,3.08
607322.648224166,6126890.06916606,13.43,8.24,0.03,1.9,2.26,1
608322.648224166,6126890.06916606,16.18,11.36,0.03,1.12,3.04,0.63
609322.648224166,6126890.06916606,8.18,6.92,0,0.22,0.65,0.39
610322.648224166,6126890.06916606,5.06,4,0.16,0.16,0.46,0.28
612322.648224166,6126890.06916606,2.84,2.84,0,0,0,0
616322.648224166,6126890.06916606,17.4,16.45,0.01,0.1,0.27,0.57
617322.648224166,6126890.06916606,14.88,12.3,0,0.26,1.05,1.27
619322.648224166,6126890.06916606,2.48,2.48,0,0,0,0
592322.648224166,6125890.06916606,1.96,1.48,0,0.12,0.31,0.05
593322.648224166,6125890.06916606,5.26,1.59,0,2.29,1.37,0.01
594322.648224166,6125890.06916606,6.54,4.75,0,0.64,0.86,0.29
597322.648224166,6125890.06916606,1.09,1.09,0,0,0,0
598322.648224166,6125890.06916606,0.23,0.23,0,0,0,0
603322.648224166,6125890.06916606,8.24,4.15,0.16,0.65,1.62,1.66
604322.648224166,6125890.06916606,7.62,4.19,0.12,0.27,0.7,2.34
605322.648224166,6125890.06916606,4.2,2.48,0,0.14,0.27,1.31
617322.648224166,6125890.06916606,12.93,10.81,0,0.34,1.09,0.69
618322.648224166,6125890.06916606,8.84,7.85,0,0.19,0.51,0.29
619322.648224166,6125890.06916606,1.45,1.45,0,0,0,0
584322.648224166,6124890.06916606,6.02,5.55,0,0.2,0.26,0.01
588322.648224166,6124890.06916606,4.88,4.13,0.03,0.35,0.25,0.12
589322.648224166,6124890.06916606,4.4,1.94,0,0.34,0.88,1.24
590322.648224166,6124890.06916606,10.67,8.95,0,0.91,0.68,0.13
591322.648224166,6124890.06916606,18.78,14.13,0,1.95,2.03,0.67
592322.648224166,6124890.06916606,9.15,8.15,0,0.4,0.49,0.11
594322.648224166,6124890.06916606,1.47,1.35,0,0.01,0.06,0.05
595322.648224166,6124890.06916606,11.34,10.66,0.03,0.11,0.27,0.27
596322.648224166,6124890.06916606,7.97,7.43,0.01,0.27,0.15,0.11
597322.648224166,6124890.06916606,8.59,8.08,0,0.25,0.2,0.06
598322.648224166,6124890.06916606,3.45,3.35,0,0.03,0.04,0.03
601322.648224166,6124890.06916606,1.04,1.04,0,0,0,0
602322.648224166,6124890.06916606,8.23,5.15,0.22,0.61,1.11,1.14
603322.648224166,6124890.06916606,2.33,1.51,0,0.15,0.4,0.27
618322.648224166,6124890.06916606,15.46,13.15,0.04,0.94,0.67,0.66
619322.648224166,6124890.06916606,7.39,6.29,0.12,0.21,0.32,0.45
583322.648224166,6123890.06916606,14.13,13.64,0,0.09,0.28,0.12
584322.648224166,6123890.06916606,16.6,14.46,0.02,0.97,0.86,0.29
585322.648224166,6123890.06916606,13.57,10.95,0,1.86,0.63,0.13
586322.648224166,6123890.06916606,1.22,0.83,0.01,0.13,0.23,0.02
587322.648224166,6123890.06916606,5.61,3.3,0.07,0.41,1.33,0.5
588322.648224166,6123890.06916606,10.63,8.3,0,0.45,1.1,0.78
597322.648224166,6123890.06916606,4.01,3.75,0,0.1,0.08,0.08
598322.648224166,6123890.06916606,9.25,8.85,0,0.28,0.09,0.03
600322.648224166,6123890.06916606,0.83,0.26,0,0.11,0.13,0.33
601322.648224166,6123890.06916606,8.81,4.88,0.07,0.39,1.21,2.26
618322.648224166,6123890.06916606,0.23,0.23,0,0,0,0
619322.648224166,6123890.06916606,23.4,21.36,0.07,0.15,0.7,1.12
620322.648224166,6123890.06916606,7.5,6.79,0.01,0.1,0.35,0.25
629322.648224166,6123890.06916606,0.86,0.82,0,0,0.01,0.03
630322.648224166,6123890.06916606,0.56,0.56,0,0,0,0
583322.648224166,6122890.06916606,6.07,5.85,0,0.14,0.08,0
584322.648224166,6122890.06916606,45.31,37.95,0.36,1.68,2.18,3.14
585322.648224166,6122890.06916606,44.4,42.54,0.02,0.83,0.81,0.2
586322.648224166,6122890.06916606,5.6,4.3,0,0.77,0.37,0.16
588322.648224166,6122890.06916606,2.72,2.72,0,0,0,0
589322.648224166,6122890.06916606,25.54,19.81,1.03,0.68,1.71,2.31
590322.648224166,6122890.06916606,0.71,0.57,0.04,0,0.01,0.09
598322.648224166,6122890.06916606,10.34,9.47,0.07,0.44,0.24,0.12
600322.648224166,6122890.06916606,25.94,11.54,1.82,2.84,7.13,2.61
619322.648224166,6122890.06916606,2.81,2.81,0,0,0,0
620322.648224166,6122890.06916606,9.23,8.08,0,0.17,0.57,0.41
621322.648224166,6122890.06916606,12.98,12.81,0,0.1,0.05,0.02
622322.648224166,6122890.06916606,9.46,7.12,0.02,0.67,0.84,0.81
623322.648224166,6122890.06916606,0.16,0.16,0,0,0,0
629322.648224166,6122890.06916606,17.25,10.46,0.42,1,1.7,3.67
630322.648224166,6122890.06916606,59.19,44.4,6.81,1.44,4.02,2.52
631322.648224166,6122890.06916606,17.85,17.32,0.42,0.03,0.01,0.07
633322.648224166,6122890.06916606,0.47,0.47,0,0,0,0
584322.648224166,6121890.06916606,9.71,7.35,0.04,0.65,0.7,0.97
585322.648224166,6121890.06916606,0.35,0.35,0,0,0,0
586322.648224166,6121890.06916606,1,1,0,0,0,0
587322.648224166,6121890.06916606,38.16,32.02,0.08,3.02,1.71,1.33
588322.648224166,6121890.06916606,77.74,62.67,0,14.77,0.05,0.25
589322.648224166,6121890.06916606,35.17,14.13,0,21.04,0,0
590322.648224166,6121890.06916606,17.55,17.48,0,0.03,0.02,0.02
591322.648224166,6121890.06916606,47.17,43.17,0.3,0.85,2.58,0.27
598322.648224166,6121890.06916606,15.89,14.49,0.08,1.06,0.14,0.12
599322.648224166,6121890.06916606,24.09,19.72,0.1,2.26,1.66,0.35
600322.648224166,6121890.06916606,18.64,12.36,0.19,2.72,2.55,0.82
619322.648224166,6121890.06916606,2.3,2.3,0,0,0,0
622322.648224166,6121890.06916606,3.33,3.06,0,0.17,0.04,0.06
623322.648224166,6121890.06916606,8.45,8.38,0,0.07,0,0
630322.648224166,6121890.06916606,12.65,12.07,0,0.56,0.02,0
631322.648224166,6121890.06916606,24.28,23.83,0.35,0.05,0.03,0.02
632322.648224166,6121890.06916606,30.67,18.16,4.25,6.76,0.76,0.74
633322.648224166,6121890.06916606,1.27,1.02,0,0.25,0,0
587322.648224166,6120890.06916606,3.15,2.6,0.05,0.29,0.08,0.13
588322.648224166,6120890.06916606,6.15,2.58,0,3.57,0,0
589322.648224166,6120890.06916606,0.07,0,0,0.07,0,0
590322.648224166,6120890.06916606,4.21,4.21,0,0,0,0
591322.648224166,6120890.06916606,10.33,10.33,0,0,0,0
595322.648224166,6120890.06916606,6.29,1.23,0.01,0.21,1.56,3.28
598322.648224166,6120890.06916606,4.7,2.8,0,1.65,0.24,0.01
599322.648224166,6120890.06916606,4.99,1.42,0,3.25,0.32,0
619322.648224166,6120890.06916606,1.55,1.55,0,0,0,0
620322.648224166,6120890.06916606,0.16,0.16,0,0,0,0
623322.648224166,6120890.06916606,3.31,3.12,0,0.07,0.06,0.06
624322.648224166,6120890.06916606,4.38,4.32,0,0.03,0,0.03
631322.648224166,6120890.06916606,6.97,6.97,0,0,0,0
632322.648224166,6120890.06916606,34.92,30.98,1.73,0.99,0.61,0.61
595322.648224166,6119890.06916606,63.62,29.23,0.68,6.15,13.44,14.12
596322.648224166,6119890.06916606,41.79,28.85,3.7,4.43,2.77,2.04
597322.648224166,6119890.06916606,7,6.74,0,0.21,0.05,0
598322.648224166,6119890.06916606,2.28,1.85,0,0.43,0,0
599322.648224166,6119890.06916606,66.09,47.08,0.43,12.06,4.8,1.72
600322.648224166,6119890.06916606,14.73,10.84,0.01,2.88,0.72,0.28
601322.648224166,6119890.06916606,26.69,19.5,0.02,5.77,0.85,0.55
602322.648224166,6119890.06916606,14.97,4.42,0.05,6.59,2.1,1.81
617322.648224166,6119890.06916606,0.21,0.21,0,0,0,0
618322.648224166,6119890.06916606,4.43,4.43,0,0,0,0
619322.648224166,6119890.06916606,5.68,5.68,0,0,0,0
620322.648224166,6119890.06916606,0.52,0.52,0,0,0,0
624322.648224166,6119890.06916606,6.4,5.74,0,0.41,0.22,0.03
625322.648224166,6119890.06916606,8.13,7.8,0.01,0.03,0.11,0.18
626322.648224166,6119890.06916606,6.26,6.26,0,0,0,0
627322.648224166,6119890.06916606,5.36,5.33,0,0.03,0,0
632322.648224166,6119890.06916606,5.33,5.33,0,0,0,0
633322.648224166,6119890.06916606,4.15,4.15,0,0,0,0
595322.648224166,6118890.06916606,1.95,0.88,0,0.75,0.21,0.11
596322.648224166,6118890.06916606,3.33,3.33,0,0,0,0
597322.648224166,6118890.06916606,7.05,7,0,0.05,0,0
599322.648224166,6118890.06916606,1.84,1.58,0,0.16,0.1,0
600322.648224166,6118890.06916606,58.48,26.63,0.01,25.84,3.85,2.15
601322.648224166,6118890.06916606,85.81,39.65,0.24,23.33,19.27,3.32
602322.648224166,6118890.06916606,46.08,13.94,0.85,9.27,13.71,8.31
603322.648224166,6118890.06916606,3.37,3.12,0,0.01,0,0.24
618322.648224166,6118890.06916606,0.8,0.8,0,0,0,0
622322.648224166,6118890.06916606,21.57,20.35,0,0.13,0.36,0.73
623322.648224166,6118890.06916606,8.35,7.84,0,0.01,0.13,0.37
627322.648224166,6118890.06916606,1.46,1.46,0,0,0,0
628322.648224166,6118890.06916606,7.94,7.77,0,0.04,0.03,0.1
629322.648224166,6118890.06916606,7.27,7.22,0,0.05,0,0
633322.648224166,6118890.06916606,18.43,17.7,0.01,0.09,0.18,0.45
642322.648224166,6118890.06916606,0.16,0.16,0,0,0,0
601322.648224166,6117890.06916606,29.79,16.26,0.2,8.85,3.56,0.92
602322.648224166,6117890.06916606,41.85,20.86,1.89,17.24,1.31,0.55
603322.648224166,6117890.06916606,15.93,12.77,0.01,0.35,1.8,1
604322.648224166,6117890.06916606,36.39,32.94,0,0.9,1.56,0.99
605322.648224166,6117890.06916606,1.87,1.87,0,0,0,0
618322.648224166,6117890.06916606,0.04,0.04,0,0,0,0
622322.648224166,6117890.06916606,11.47,10.86,0,0.01,0.24,0.36
623322.648224166,6117890.06916606,65.45,54.52,0.43,1.82,3.13,5.55
624322.648224166,6117890.06916606,6.53,6.53,0,0,0,0
629322.648224166,6117890.06916606,0.82,0.82,0,0,0,0
630322.648224166,6117890.06916606,10.49,10.49,0,0,0,0
631322.648224166,6117890.06916606,6.41,6.1,0,0.07,0.04,0.2
632322.648224166,6117890.06916606,4.53,4.53,0,0,0,0
633322.648224166,6117890.06916606,15.63,12.09,0.12,1.43,0.95,1.04
634322.648224166,6117890.06916606,27.1,22.62,0.21,1.58,1.61,1.08
635322.648224166,6117890.06916606,5.7,4.21,0.03,0.49,0.8,0.17
642322.648224166,6117890.06916606,0.79,0.79,0,0,0,0
602322.648224166,6116890.06916606,17.73,15.91,0.12,0.76,0.21,0.73
603322.648224166,6116890.06916606,35.07,0,0.55,1.9,10.52,22.1
604322.648224166,6116890.06916606,79.8,37.25,2.62,5.46,14.43,20.04
605322.648224166,6116890.06916606,25.48,19.19,0.11,0.26,1.26,4.66
623322.648224166,6116890.06916606,15.25,8.07,0.08,0.02,1.49,5.59
624322.648224166,6116890.06916606,38.54,32.14,1.37,0.52,0.44,4.07
625322.648224166,6116890.06916606,14.73,11.88,0,2.5,0,0.35
632322.648224166,6116890.06916606,2.19,1.32,0,0.23,0.61,0.03
633322.648224166,6116890.06916606,0.63,0.59,0,0,0,0.04
634322.648224166,6116890.06916606,3.11,3.01,0,0.09,0.01,0
