"group","from_class","to_class","changed","category","n_cells","area_ha","pct_of_pair"
"bulk","Bare Ground","Bare Ground",FALSE,"flicker",576,5.76,77.7327935222672
"bulk","Bare Ground","Bare Ground",FALSE,"stable",165,1.65,22.2672064777328
"bulk","Bare Ground","Built Area",TRUE,"break_endpoint",1941,19.41,51.0520778537612
"bulk","Bare Ground","Built Area",TRUE,"break_sustained",2,0.02,0.0526038926880589
"bulk","Bare Ground","Built Area",TRUE,"flicker",1859,18.59,48.8953182535508
"bulk","Bare Ground","Crops",TRUE,"break_endpoint",220,2.2,22.3804679552391
"bulk","Bare Ground","Crops",TRUE,"flicker",763,7.63,77.6195320447609
"bulk","Bare Ground","Flooded Vegetation",TRUE,"break_endpoint",153,1.53,12.9222972972973
"bulk","Bare Ground","Flooded Vegetation",TRUE,"flicker",1031,10.31,87.0777027027027
"bulk","Bare Ground","Rangeland",TRUE,"break_endpoint",1457,14.57,24.6364558674332
"bulk","Bare Ground","Rangeland",TRUE,"break_sustained",104,1.04,1.75853905985796
"bulk","Bare Ground","Rangeland",TRUE,"flicker",4353,43.53,73.6050050727088
"bulk","Bare Ground","Snow/Ice",TRUE,"flicker",1,0.01,100
"bulk","Bare Ground","Trees",TRUE,"break_endpoint",9064,90.64,67.1506889909616
"bulk","Bare Ground","Trees",TRUE,"flicker",4434,44.34,32.8493110090384
"bulk","Bare Ground","Water",TRUE,"break_endpoint",5988,59.88,62.958679423825
"bulk","Bare Ground","Water",TRUE,"break_sustained",117,1.17,1.23015455788035
"bulk","Bare Ground","Water",TRUE,"flicker",3406,34.06,35.8111660182946
"bulk","Built Area","Bare Ground",TRUE,"break_endpoint",86,0.86,65.1515151515152
"bulk","Built Area","Bare Ground",TRUE,"flicker",46,0.46,34.8484848484849
"bulk","Built Area","Built Area",FALSE,"flicker",7987,79.87,14.3377733098769
"bulk","Built Area","Built Area",FALSE,"stable",47719,477.19,85.6622266901231
"bulk","Built Area","Crops",TRUE,"break_endpoint",316,3.16,16.9436997319035
"bulk","Built Area","Crops",TRUE,"break_sustained",101,1.01,5.41554959785523
"bulk","Built Area","Crops",TRUE,"flicker",1448,14.48,77.6407506702413
"bulk","Built Area","Rangeland",TRUE,"break_endpoint",356,3.56,16.3227877120587
"bulk","Built Area","Rangeland",TRUE,"break_sustained",224,2.24,10.2705181109583
"bulk","Built Area","Rangeland",TRUE,"flicker",1601,16.01,73.406694176983
"bulk","Built Area","Trees",TRUE,"break_endpoint",245,2.45,26.8640350877193
"bulk","Built Area","Trees",TRUE,"break_sustained",77,0.77,8.44298245614035
"bulk","Built Area","Trees",TRUE,"flicker",590,5.9,64.6929824561404
"bulk","Built Area","Water",TRUE,"break_endpoint",144,1.44,36.5482233502538
"bulk","Built Area","Water",TRUE,"break_sustained",48,0.48,12.1827411167513
"bulk","Built Area","Water",TRUE,"flicker",202,2.02,51.2690355329949
"bulk","Clouds","Bare Ground",TRUE,"flicker",3,0.03,100
"bulk","Clouds","Built Area",TRUE,"break_endpoint",64,0.64,56.140350877193
"bulk","Clouds","Built Area",TRUE,"flicker",50,0.5,43.859649122807
"bulk","Clouds","Rangeland",TRUE,"flicker",3,0.03,100
"bulk","Clouds","Trees",TRUE,"break_endpoint",5,0.05,8.06451612903226
"bulk","Clouds","Trees",TRUE,"flicker",57,0.57,91.9354838709677
"bulk","Clouds","Water",TRUE,"break_endpoint",31,0.31,31.6326530612245
"bulk","Clouds","Water",TRUE,"flicker",67,0.67,68.3673469387755
"bulk","Crops","Built Area",TRUE,"break_endpoint",447,4.47,19.7003085059498
"bulk","Crops","Built Area",TRUE,"break_sustained",384,3.84,16.9237549581313
"bulk","Crops","Built Area",TRUE,"flicker",1438,14.38,63.3759365359189
"bulk","Crops","Crops",FALSE,"flicker",15083,150.83,59.7464844523668
"bulk","Crops","Crops",FALSE,"stable",10162,101.62,40.2535155476332
"bulk","Crops","Rangeland",TRUE,"break_endpoint",9042,90.42,22.0225047493789
"bulk","Crops","Rangeland",TRUE,"break_sustained",21788,217.88,53.0663938818257
"bulk","Crops","Rangeland",TRUE,"flicker",10228,102.28,24.9111013687954
"bulk","Crops","Trees",TRUE,"break_endpoint",206,2.06,12.2546103509816
"bulk","Crops","Trees",TRUE,"break_sustained",147,1.47,8.74479476502082
"bulk","Crops","Trees",TRUE,"flicker",1328,13.28,79.0005948839976
