"group","reference","band","band_label","break_year","category_label","n_cells"
"bulk","water_core",2,"0-10",2018,"break_endpoint",6351
"bulk","water_core",2,"0-10",2019,"break_sustained",509
"bulk","water_core",2,"0-10",2020,"break_sustained",176
"bulk","water_core",2,"0-10",2021,"break_sustained",690
"bulk","water_core",2,"0-10",2022,"break_sustained",2584
"bulk","water_core",2,"0-10",2023,"break_endpoint",8771
"bulk","water_core",3,"10-30",2018,"break_endpoint",5431
"bulk","water_core",3,"10-30",2019,"break_sustained",748
"bulk","water_core",3,"10-30",2020,"break_sustained",430
"bulk","water_core",3,"10-30",2021,"break_sustained",576
"bulk","water_core",3,"10-30",2022,"break_sustained",2012
"bulk","water_core",3,"10-30",2023,"break_endpoint",6799
"bulk","water_core",4,"30-50",2018,"break_endpoint",3395
"bulk","water_core",4,"30-50",2019,"break_sustained",663
"bulk","water_core",4,"30-50",2020,"break_sustained",457
"bulk","water_core",4,"30-50",2021,"break_sustained",266
"bulk","water_core",4,"30-50",2022,"break_sustained",543
"bulk","water_core",4,"30-50",2023,"break_endpoint",1528
"bulk","water_core",5,"50-100",2018,"break_endpoint",5876
"bulk","water_core",5,"50-100",2019,"break_sustained",1349
"bulk","water_core",5,"50-100",2020,"break_sustained",1064
"bulk","water_core",5,"50-100",2021,"break_sustained",572
"bulk","water_core",5,"50-100",2022,"break_sustained",728
"bulk","water_core",5,"50-100",2023,"break_endpoint",2611
"bulk","water_core",6,"100-200",2018,"break_endpoint",8304
"bulk","water_core",6,"100-200",2019,"break_sustained",2403
"bulk","water_core",6,"100-200",2020,"break_sustained",1549
"bulk","water_core",6,"100-200",2021,"break_sustained",1083
"bulk","water_core",6,"100-200",2022,"break_sustained",1041
"bulk","water_core",6,"100-200",2023,"break_endpoint",3548
"bulk","water_core",7,"200-500",2018,"break_endpoint",14875
"bulk","water_core",7,"200-500",2019,"break_sustained",6328
"bulk","water_core",7,"200-500",2020,"break_sustained",4926
"bulk","water_core",7,"200-500",2021,"break_sustained",2686
"bulk","water_core",7,"200-500",2022,"break_sustained",1397
"bulk","water_core",7,"200-500",2023,"break_endpoint",7109
"bulk","water_core",8,">500",2018,"break_endpoint",48341
"bulk","water_core",8,">500",2019,"break_sustained",18570
"bulk","water_core",8,">500",2020,"break_sustained",8834
"bulk","water_core",8,">500",2021,"break_sustained",13863
"bulk","water_core",8,">500",2022,"break_sustained",14888
"bulk","water_core",8,">500",2023,"break_endpoint",45330
"necr","water_core",2,"0-10",2018,"break_endpoint",5149
"necr","water_core",2,"0-10",2019,"break_sustained",238
"necr","water_core",2,"0-10",2020,"break_sustained",139
"necr","water_core",2,"0-10",2021,"break_sustained",594
"necr","water_core",2,"0-10",2022,"break_sustained",4540
"necr","water_core",2,"0-10",2023,"break_endpoint",5768
"necr","water_core",3,"10-30",2018,"break_endpoint",3155
"necr","water_core",3,"10-30",2019,"break_sustained",627
"necr","water_core",3,"10-30",2020,"break_sustained",433
"necr","water_core",3,"10-30",2021,"break_sustained",624
"necr","water_core",3,"10-30",2022,"break_sustained",1427
"necr","water_core",3,"10-30",2023,"break_endpoint",2994
"necr","water_core",4,"30-50",2018,"break_endpoint",1491
"necr","water_core",4,"30-50",2019,"break_sustained",637
"necr","water_core",4,"30-50",2020,"break_sustained",420
"necr","water_core",4,"30-50",2021,"break_sustained",343
"necr","water_core",4,"30-50",2022,"break_sustained",486
"necr","water_core",4,"30-50",2023,"break_endpoint",1213
"necr","water_core",5,"50-100",2018,"break_endpoint",2166
"necr","water_core",5,"50-100",2019,"break_sustained",1152
"necr","water_core",5,"50-100",2020,"break_sustained",804
"necr","water_core",5,"50-100",2021,"break_sustained",787
"necr","water_core",5,"50-100",2022,"break_sustained",1372
"necr","water_core",5,"50-100",2023,"break_endpoint",2173
"necr","water_core",6,"100-200",2018,"break_endpoint",3183
"necr","water_core",6,"100-200",2019,"break_sustained",2173
"necr","water_core",6,"100-200",2020,"break_sustained",2213
"necr","water_core",6,"100-200",2021,"break_sustained",1752
"necr","water_core",6,"100-200",2022,"break_sustained",2289
"necr","water_core",6,"100-200",2023,"break_endpoint",2992
"necr","water_core",7,"200-500",2018,"break_endpoint",5920
"necr","water_core",7,"200-500",2019,"break_sustained",5401
"necr","water_core",7,"200-500",2020,"break_sustained",4346
"necr","water_core",7,"200-500",2021,"break_sustained",2513
"necr","water_core",7,"200-500",2022,"break_sustained",4898
"necr","water_core",7,"200-500",2023,"break_endpoint",6203
"necr","water_core",8,">500",2018,"break_endpoint",73168
"necr","water_core",8,">500",2019,"break_sustained",56969
"necr","water_core",8,">500",2020,"break_sustained",24315
"necr","water_core",8,">500",2021,"break_sustained",19500
"necr","water_core",8,">500",2022,"break_sustained",37991
"necr","water_core",8,">500",2023,"break_endpoint",54321
"lnth","water_core",2,"0-10",2018,"break_endpoint",3171
"lnth","water_core",2,"0-10",2019,"break_sustained",441
"lnth","water_core",2,"0-10",2020,"break_sustained",310
"lnth","water_core",2,"0-10",2021,"break_sustained",790
"lnth","water_core",2,"0-10",2022,"break_sustained",2653
"lnth","water_core",2,"0-10",2023,"break_endpoint",7716
"lnth","water_core",3,"10-30",2018,"break_endpoint",1496
"lnth","water_core",3,"10-30",2019,"break_sustained",558
"lnth","water_core",3,"10-30",2020,"break_sustained",559
"lnth","water_core",3,"10-30",2021,"break_sustained",1241
"lnth","water_core",3,"10-30",2022,"break_sustained",2118
"lnth","water_core",3,"10-30",2023,"break_endpoint",3907
"lnth","water_core",4,"30-50",2018,"break_endpoint",985
"lnth","water_core",4,"30-50",2019,"break_sustained",365
"lnth","water_core",4,"30-50",2020,"break_sustained",325
"lnth","water_core",4,"30-50",2021,"break_sustained",622
"lnth","water_core",4,"30-50",2022,"break_sustained",981
"lnth","water_core",4,"30-50",2023,"break_endpoint",1124
"lnth","water_core",5,"50-100",2018,"break_endpoint",1547
"lnth","water_core",5,"50-100",2019,"break_sustained",624
"lnth","water_core",5,"50-100",2020,"break_sustained",430
"lnth","water_core",5,"50-100",2021,"break_sustained",684
"lnth","water_core",5,"50-100",2022,"break_sustained",1000
