"group","area_band","n_patches","pct_sliver","width_px_median","n_sliver","n_wider","break_frac_sliver","break_frac_wider"
"bulk","0.02-0.1",8639,100,0.67,8639,0,0.414,NA
"bulk","0.1-0.2",1869,90.6,1.08,1693,176,0.425,0.523
"bulk","0.2-0.5",1678,56.1,1.41,941,737,0.516,0.45
"bulk","0.5-1",739,23.3,1.95,172,567,0.573,0.497
"bulk",">=1",732,3.7,3.2,27,705,0.63,0.615
"necr","0.02-0.1",5681,99.9,0.75,5678,3,0.463,0.741
"necr","0.1-0.2",1705,90.7,1.07,1546,159,0.479,0.566
"necr","0.2-0.5",1468,53.2,1.45,781,687,0.497,0.506
"necr","0.5-1",687,15.7,2.09,108,579,0.534,0.546
"necr",">=1",903,1.9,3.55,17,886,0.582,0.645
"lnth","0.02-0.1",5099,100,0.67,5099,0,0.462,NA
"lnth","0.1-0.2",863,92.8,1,801,62,0.486,0.47
"lnth","0.2-0.5",681,56.2,1.44,383,298,0.496,0.413
"lnth","0.5-1",271,17.7,2.02,48,223,0.576,0.527
"lnth",">=1",268,2.2,3.16,6,262,0.476,0.548
"kotl","0.02-0.1",4732,100,0.75,4732,0,0.531,NA
"kotl","0.1-0.2",1276,90.2,1.06,1151,125,0.514,0.589
"kotl","0.2-0.5",1054,62,1.35,654,400,0.591,0.527
"kotl","0.5-1",419,27.2,1.97,114,305,0.597,0.535
"kotl",">=1",475,7.4,3.09,35,440,0.606,0.596
