"group","sieve_ha","n_patches","pct_patches_kept","area_ha","pct_area_kept","n_sliver","pct_kept_sliver","sliver_area_ha_median","sliver_area_ha_p90","break_frac_sliver","break_frac_wider","n_flips_sliver","n_flips_wider"
"bulk",0,21701,100,4625,100,19516,89.9,0.02,0.13,0.464,0.59,2.28,1.94
"bulk",0.5,1471,6.8,3421.6,74,199,13.5,0.65,1.16,0.587,0.601,1.95,1.92
"bulk",1,732,3.4,2911.2,62.9,27,3.7,1.36,1.732,0.63,0.615,1.87,1.88
"necr",0,21990,100,5779.4,100,19676,89.5,0.02,0.12,0.478,0.629,2.2,1.83
"necr",0.5,1590,7.2,4642.7,80.3,125,7.9,0.66,1.06,0.546,0.636,2.03,1.81
"necr",1,903,4.1,4161.6,72,17,1.9,1.17,1.592,0.582,0.645,1.97,1.79
"lnth",0,12434,100,1629.7,100,11589,93.2,0.02,0.11,0.478,0.532,2.23,2.1
"lnth",0.5,539,4.3,1046.8,64.2,54,10,0.655,1.025,0.558,0.545,2.03,2.07
"lnth",1,268,2.2,861.9,52.9,6,2.2,1.07,1.275,0.476,0.548,2.29,2.07
"kotl",0,17042,100,3537.8,100,15772,92.5,0.02,0.12,0.544,0.588,2.03,1.92
"kotl",0.5,894,5.2,2658,75.1,149,16.7,0.7,1.446,0.601,0.591,1.89,1.91
"kotl",1,475,2.8,2367.1,66.9,35,7.4,1.37,1.904,0.606,0.596,1.87,1.89
