"group","patch_group","n_patches","area_ha","break_frac_area_wtd","pct_no_break_cell","pct_all_break","n_flips_area_wtd"
"bulk","artifact_signature",15031,821.7,0.494,46.6,30.5,2.19
"bulk","other",6670,3803.3,0.575,40.3,21.2,1.99
"bulk","sliver",19516,1077.6,0.464,48.3,29.5,2.28
"bulk","wider",2185,3547.3,0.59,12.6,11.1,1.94
"bulk","ge_0.5_ha",1471,3421.6,0.6,6.4,6.9,1.92
"bulk","all",21701,4625,0.56,44.7,27.6,2.02
"necr","artifact_signature",15567,755.5,0.49,44,33.1,2.16
"necr","other",6423,5024,0.621,34.7,25.8,1.85
"necr","sliver",19676,973.5,0.478,44.8,32.8,2.2
"necr","wider",2314,4806,0.629,11.8,15.1,1.83
"necr","ge_0.5_ha",1590,4642.7,0.634,7.2,9.6,1.82
"necr","all",21990,5779.4,0.604,41.3,31,1.89
"lnth","artifact_signature",9351,399.7,0.518,41.6,36,2.12
"lnth","other",3083,1230,0.515,44.9,18.2,2.15
"lnth","sliver",11589,510.1,0.478,44.6,33.3,2.23
"lnth","wider",845,1119.6,0.532,12.8,7.6,2.1
"lnth","ge_0.5_ha",539,1046.8,0.545,6.5,5,2.07
"lnth","all",12434,1629.7,0.515,42.4,31.6,2.14
"kotl","artifact_signature",11509,631.3,0.55,40.3,35.4,2.02
"kotl","other",5533,2906.5,0.583,32.3,34.2,1.93
"kotl","sliver",15772,846.5,0.544,39.9,36.8,2.03
"kotl","wider",1270,2691.2,0.588,10.2,12,1.92
"kotl","ge_0.5_ha",894,2658,0.592,5.5,6.3,1.91
"kotl","all",17042,3537.8,0.577,37.7,35,1.94
