"group","class_set","category","n_cells","area_ha","pct_of_set"
"bulk","trees_to_non_trees_excl_clouds","break_endpoint",76690,766.9,37.4030053112365
"bulk","trees_to_non_trees_excl_clouds","break_sustained",41577,415.77,20.2778035183894
"bulk","trees_to_non_trees_excl_clouds","flicker",86770,867.7,42.3191911703741
"necr","trees_to_non_trees_excl_clouds","break_endpoint",74302,743.02,31.2066090710929
"necr","trees_to_non_trees_excl_clouds","break_sustained",76336,763.36,32.0608827494676
"necr","trees_to_non_trees_excl_clouds","flicker",87459,874.59,36.7325081794395
"lnth","trees_to_non_trees_excl_clouds","break_endpoint",12090,120.9,27.5317104274361
"lnth","trees_to_non_trees_excl_clouds","break_sustained",6991,69.91,15.9201147723909
"lnth","trees_to_non_trees_excl_clouds","flicker",24832,248.32,56.5481748001731
"kotl","trees_to_non_trees_excl_clouds","break_endpoint",24880,248.8,32.2806653346135
"kotl","trees_to_non_trees_excl_clouds","break_sustained",27312,273.12,35.4360744219841
"kotl","trees_to_non_trees_excl_clouds","flicker",24882,248.82,32.2832602434025
"bulk","trees_to_non_trees_excl_clouds_water","break_endpoint",65155,651.55,36.7366385313238
"bulk","trees_to_non_trees_excl_clouds_water","break_sustained",37025,370.25,20.8759733193502
"bulk","trees_to_non_trees_excl_clouds_water","flicker",75177,751.77,42.3873881493259
"necr","trees_to_non_trees_excl_clouds_water","break_endpoint",69039,690.39,31.1511284777057
"necr","trees_to_non_trees_excl_clouds_water","break_sustained",73055,730.55,32.9631902394123
"necr","trees_to_non_trees_excl_clouds_water","flicker",79532,795.32,35.885681282882
"lnth","trees_to_non_trees_excl_clouds_water","break_endpoint",9408,94.08,25.3039268423884
"lnth","trees_to_non_trees_excl_clouds_water","break_sustained",5453,54.53,14.6664873587951
"lnth","trees_to_non_trees_excl_clouds_water","flicker",22319,223.19,60.0295857988166
"kotl","trees_to_non_trees_excl_clouds_water","break_endpoint",16838,168.38,27.0907745277858
"kotl","trees_to_non_trees_excl_clouds_water","break_sustained",25754,257.54,41.4357885252759
"kotl","trees_to_non_trees_excl_clouds_water","flicker",19562,195.62,31.4734369469383
